N	2gram	Nazirov_Tr_1	Problema
1	то что	4	42
2	то есть	3	33
3	и в	18	32
4	и не	7	31
5	не просто	2	23
6	в этом	9	19
7	не только	8	17
8	потому что	2	16
9	в виде	2	15
10	в себе	4	15
11	как бы	7	14
12	может быть	7	14
13	но в	6	14
14	в нем	4	13
15	что в	4	12
16	том что	4	12
17	так и	5	12
18	и даже	4	11
19	о том	2	11
20	то же	5	10
21	прежде всего	4	10
22	в этой	4	10
23	отнюдь не	3	10
24	об этом	4	10
25	ничего не	2	10
26	в том	2	9
27	но и	4	9
28	и что	4	9
29	так же	4	9
30	раз и	2	9
31	еще не	4	9
32	в таком	2	9
33	в данном	2	9
34	и это	2	9
35	данном случае	2	8
36	не может	5	8
37	все эти	3	8
38	и на	7	8
39	он и	2	8
40	но это	4	8
41	и ее	2	8
42	никогда не	2	7
43	ни в	2	7
44	все это	4	7
45	и все	4	7
46	что он	6	7
47	тем что	2	7
48	в конце	3	6
49	так что	2	6
50	и как	3	6
51	при этом	3	6
52	в самом	2	6
53	то и	2	6
54	это не	5	6
55	и здесь	2	6
56	и то	2	6
57	его в	2	6
58	как это	3	6
59	о чем	3	6
60	в то	5	6
61	в его	3	6
62	перед нами	2	5
63	в своем	3	5
64	что она	2	5
65	с тем	2	5
66	точно так	2	4
67	не в	2	4
68	в дальнейшем	5	4
69	по поводу	2	4
70	один из	3	4
71	как в	3	4
72	даже если	2	4
73	тем самым	3	4
74	что вы	3	3
75	уже в	3	3
76	что это	5	3
77	что все	2	3
78	как же	2	3
79	но все	2	3
80	несмотря на	5	3
81	и его	6	3
82	он всегда	4	3
83	с ним	3	3
84	в ее	2	3
85	как и	5	3
86	к тому	2	3
87	он не	2	3
88	говорит о	2	3
89	от всего	2	3
90	уже не	2	3
91	к нему	3	3
92	как будто	3	3
93	он сам	7	2
94	не могут	2	2
95	в это	2	2
96	он вдруг	5	2
97	для него	3	2
98	и до	2	2
99	не имеет	2	2
100	должно быть	3	2
101	этого романа	2	2
102	и с	7	2
103	в первом	2	2
104	с его	2	2
105	о его	2	2
106	что этот	2	2
