N	2gram	Tiupa_Hudo_1	Vladivir
1	и в	19	30
2	в году	2	24
3	то что	4	20
4	в этом	11	20
5	в том	18	18
6	и не	15	18
7	что он	3	13
8	том что	8	12
9	что в	6	12
10	не только	16	12
11	в его	9	11
12	а в	12	11
13	сказать что	4	11
14	а также	5	10
15	не в	7	9
16	для него	4	9
17	потому что	3	9
18	не может	7	9
19	в то	6	9
20	в своем	2	8
21	но и	10	8
22	но в	7	8
23	не менее	3	7
24	никогда не	2	7
25	точки зрения	10	7
26	ни в	5	7
27	может быть	14	7
28	а не	9	7
29	как это	5	7
30	то есть	18	7
31	хотя и	3	6
32	прежде всего	4	6
33	и к	3	6
34	об этом	2	6
35	тем не	3	6
36	только в	5	6
37	в себе	9	6
38	а именно	2	6
39	и его	12	6
40	о чем	2	6
41	и то	4	5
42	по себе	2	5
43	как и	2	5
44	то в	2	5
45	при этом	13	5
46	того же	2	5
47	в своей	5	5
48	как бы	9	5
49	для себя	2	5
50	так и	11	5
51	все это	2	5
52	и что	3	5
53	того что	4	5
54	все эти	2	5
55	с ним	2	5
56	из этого	2	5
57	с его	6	4
58	именно в	2	4
59	я не	2	4
60	вовсе не	2	4
61	его в	2	4
62	можно сказать	5	4
63	в этой	2	4
64	в целом	3	4
65	и о	3	4
66	он не	4	4
67	в нем	5	4
68	в этих	3	4
69	со стороны	2	4
70	то же	10	4
71	так же	2	4
72	и на	2	4
73	о том	2	4
74	здесь не	2	4
75	в которой	2	4
76	отношение к	5	4
77	для меня	2	4
78	в них	2	3
79	в отношении	3	3
80	из этих	3	3
81	же время	5	3
82	в свою	3	3
83	что и	2	3
84	и как	3	3
85	своей жизни	2	3
86	более или	5	3
87	но не	11	3
88	в данном	4	3
89	и для	2	3
90	так или	3	3
91	и особенно	2	3
92	с точки	3	3
93	во всех	3	3
94	или менее	5	3
95	как в	2	3
96	в отличие	7	3
97	отношения к	2	3
98	таким образом	3	3
99	и больше	2	3
100	уже не	4	3
101	отличие от	7	3
102	или иначе	4	3
103	не столько	3	3
104	но он	3	3
105	что можно	3	3
106	я в	11	3
107	говоря о	3	3
108	и это	2	3
109	в области	6	3
110	к нему	3	2
111	однако в	4	2
112	со своей	3	2
113	жизни в	2	2
114	это не	2	2
115	к тому	4	2
116	это тоже	2	2
117	в стихотворении	3	2
118	свою очередь	2	2
119	по своему	2	2
120	такого рода	10	2
121	в самом	5	2
122	в частности	13	2
123	и потому	2	2
124	не вполне	2	2
125	для того	2	2
126	в виду	5	2
127	даже в	3	2
128	еще один	2	2
129	себя в	7	2
130	в их	5	2
131	не на	3	2
132	как к	2	2
133	собственно говоря	2	2
134	начиная с	2	2
135	и притом	3	2
136	в той	3	2
137	заключается в	2	2
138	того чтобы	2	2
139	существующее в	2	2
140	в чем	2	2
141	и по	2	2
142	их в	3	2
143	к его	2	2
144	я и	7	2
