N	2gram	Losev_Prob_3	EvropaiC
1	таким образом	9	32
2	в том	21	31
3	и в	44	24
4	том что	12	20
5	все эти	7	19
6	не может	7	18
7	то что	23	17
8	может быть	28	15
9	все же	6	15
10	точки зрения	5	13
11	в своем	5	12
12	до сих	2	12
13	сих пор	2	12
14	самом деле	3	12
15	в этом	17	12
16	все это	5	11
17	с этим	2	11
18	как бы	9	10
19	из себя	3	10
20	во всех	2	10
21	так и	10	10
22	на то	3	9
23	при этом	4	9
24	в результате	2	9
25	как и	10	9
26	того же	2	9
27	что в	8	9
28	не в	13	8
29	в самом	3	8
30	так же	5	8
31	если бы	3	8
32	и все	3	8
33	ясно что	6	8
34	мы говорили	2	8
35	идет речь	3	8
36	с точки	2	8
37	не менее	10	7
38	для этого	6	7
39	к тому	3	7
40	но и	10	7
41	и не	35	7
42	и что	7	7
43	о том	6	7
44	что он	9	7
45	о которых	3	7
46	по существу	2	7
47	на самом	7	7
48	из этого	3	7
49	все они	2	6
50	с другой	7	6
51	так что	12	6
52	в этой	3	6
53	друг от	2	6
54	от друга	2	6
55	отличается от	4	6
56	того что	8	6
57	как на	2	6
58	так как	9	6
59	с ним	7	6
60	и при	2	6
61	еще не	5	6
62	что и	9	6
63	у них	2	6
64	мы можем	6	6
65	только в	19	6
66	вместе с	2	6
67	именно в	2	5
68	что это	3	5
69	и без	4	5
70	и от	9	5
71	что все	2	5
72	в целом	6	5
73	другой стороны	5	5
74	и с	9	5
75	потому что	25	5
76	его в	3	5
77	между собою	2	5
78	но в	12	5
79	ничем не	2	5
80	сравнению с	2	5
81	и к	6	5
82	в то	9	5
83	по своему	2	5
84	что при	2	5
85	и если	6	5
86	в его	9	5
87	не только	14	5
88	по сравнению	2	5
89	быть и	3	5
90	и для	2	5
91	но все	3	5
92	в себе	8	5
93	как будто	3	5
94	в которой	2	5
95	никогда не	6	4
96	самого себя	3	4
97	в конце	5	4
98	этом случае	5	4
99	из того	3	4
100	тем не	10	4
101	это есть	3	4
102	хотя и	5	4
103	из них	2	4
104	в их	2	4
105	не так	3	4
106	и то	14	4
107	всех этих	2	4
108	связи с	8	4
109	мы должны	7	4
110	мы уже	4	4
111	он не	8	4
112	конце концов	3	4
113	не есть	35	4
114	совершенно не	4	4
115	то же	13	4
116	а с	2	4
117	если мы	16	4
118	из которых	2	4
119	и у	2	4
120	хотя бы	3	4
121	в таком	5	4
122	в виде	6	4
123	состоит из	5	4
124	что их	2	3
125	мы будем	2	3
126	же как	3	3
127	с одной	2	3
128	но даже	4	3
129	в нашем	5	3
130	в этих	2	3
131	ее и	2	3
132	в тех	3	3
133	для нас	16	3
134	в настоящее	2	3
135	в нем	9	3
136	данном случае	7	3
137	от того	2	3
138	то ни	6	3
139	что оно	2	3
140	заключается в	4	3
141	и по	2	3
142	а в	5	3
143	это не	9	3
144	в начале	2	3
145	настоящее время	2	3
146	что мы	8	3
147	при помощи	8	3
148	и потому	7	3
149	бы в	2	3
150	с тем	5	3
151	прежде всего	3	3
152	на нас	2	3
153	у нас	10	3
154	от него	2	3
155	от тех	2	3
156	и может	2	3
157	гораздо больше	2	3
158	отличаются друг	2	3
159	только что	2	3
160	даже если	2	3
161	жизнь и	2	3
162	в данном	9	3
163	очень много	3	3
164	тем более	3	3
165	в связи	7	3
166	и вообще	8	3
167	ничего общего	7	3
168	и это	9	3
169	отличие от	3	3
170	не то	2	3
171	же не	2	3
172	в частности	2	2
173	можно ли	4	2
174	тому что	4	2
175	что у	3	2
176	с этой	3	2
177	виде как	2	2
178	именно потому	3	2
179	многих других	2	2
180	не стоит	2	2
181	как мы	8	2
182	для него	3	2
183	мы и	2	2
184	что они	5	2
185	и сам	5	2
186	от себя	2	2
187	ни для	2	2
188	в ней	5	2
189	но если	6	2
190	в виду	10	2
191	всяком случае	6	2
192	в котором	2	2
193	с ее	2	2
194	мы видели	2	2
195	бы то	4	2
196	другими словами	6	2
197	и до	2	2
198	образом и	2	2
199	то и	5	2
200	которые уже	2	2
201	что для	3	2
202	и состоит	2	2
203	в самой	2	2
204	и будет	2	2
205	ни было	3	2
206	в которых	3	2
207	широком смысле	2	2
208	него с	2	2
209	только при	4	2
210	но как	4	2
211	говорить о	3	2
212	не было	5	2
213	также и	16	2
214	а это	3	2
215	во всяком	9	2
216	то есть	34	2
217	однако это	2	2
218	в основе	2	2
219	не будут	2	2
220	и более	2	2
221	и там	2	2
222	отнюдь не	10	2
223	при таком	2	2
224	же касается	4	2
225	гораздо более	5	2
226	вовсе не	37	2
227	на первый	4	2
228	при условии	2	2
229	только тогда	2	2
230	а к	2	2
231	то в	3	2
232	но не	3	2
233	не очень	2	2
234	том виде	2	2
235	только то	2	2
236	она не	3	2
237	было бы	8	2
238	жизни и	6	2
239	на себе	3	2
240	никто не	2	2
241	общего с	3	2
242	между прочим	2	2
243	во внимание	2	2
244	и особенно	2	2
245	очень мало	2	2
246	в процессе	2	2
247	что же	8	2
248	все дело	2	2
249	но с	2	2
250	тем самым	5	2
251	для самого	2	2
252	этот вопрос	3	2
253	и ее	3	2
254	в другом	2	2
255	этого слова	5	2
256	если же	3	2
257	рассматривать как	2	2
258	есть в	3	2
259	и только	6	2
260	из него	2	2
