N	2gram	Berdyaev_O_1	Dialekti
1	не есть	2	54
2	т е	4	48
3	и не	13	27
4	а не	11	26
5	и в	19	24
6	не только	11	23
7	по себе	2	20
8	не может	4	19
9	ничего не	2	17
10	и есть	3	16
11	что все	2	14
12	то что	5	14
13	может быть	11	13
14	что он	3	13
15	того что	3	12
16	не имеет	2	11
17	что же	2	11
18	но и	13	9
19	нет ничего	7	9
20	учение о	2	8
21	прежде всего	9	8
22	так что	2	8
23	том что	2	8
24	в этом	12	8
25	что в	4	7
26	никогда не	9	7
27	и нет	2	7
28	в самом	5	7
29	потому что	9	7
30	даже и	2	7
31	как и	6	7
32	все это	6	6
33	и с	2	6
34	о том	3	6
35	так как	2	6
36	и все	10	6
37	что и	2	6
38	можно ли	2	5
39	всегда есть	4	5
40	в том	5	5
41	хотя и	2	5
42	и его	4	5
43	что для	2	5
44	одно из	2	5
45	вопрос о	10	5
46	и к	2	5
47	было бы	3	5
48	он не	7	5
49	так и	2	5
50	что не	4	5
51	личности и	2	5
52	это не	3	4
53	не могут	3	4
54	хотя бы	3	4
55	что есть	2	4
56	сказать что	2	4
57	в истории	2	4
58	и то	2	4
59	для него	5	4
60	быть может	3	3
61	не было	9	3
62	все же	2	3
63	всего и	2	3
64	в своем	2	3
65	и от	3	3
66	не в	11	3
67	в нем	10	3
68	это было	3	3
69	все эти	4	3
70	должно быть	2	3
71	и на	2	3
72	и ни	2	3
73	тем что	2	3
74	все что	3	3
75	и о	2	3
76	как бы	3	3
77	для того	3	3
78	к нему	3	3
79	и ее	3	3
80	и этим	2	3
81	что у	2	2
82	еще не	3	2
83	только одно	3	2
84	только и	4	2
85	и вот	3	2
86	его не	2	2
87	а в	5	2
88	от самого	2	2
89	в своих	3	2
90	и потому	2	2
91	к этой	2	2
92	но в	2	2
93	с которой	2	2
94	с его	4	2
95	у него	22	2
96	все еще	2	2
97	их не	2	2
98	тогда уже	2	2
99	ведь это	2	2
100	никто не	3	2
101	же можно	2	2
102	природы и	2	2
103	ее в	2	2
104	ничего и	2	2
105	и он	8	2
106	и для	2	2
107	ничто не	2	2
108	могут быть	3	2
109	в себе	3	2
110	в его	7	2
