N	2gram	Bakhtin_fo_2	Hudozhes
1	том что	4	16
2	и в	46	14
3	так и	7	13
4	а не	4	12
5	в том	10	12
6	не только	11	12
7	при этом	6	12
8	о том	4	12
9	прежде всего	14	11
10	и т	14	11
11	в этом	22	11
12	в себе	4	11
13	для него	3	10
14	у него	9	9
15	что он	3	9
16	как и	8	9
17	в качестве	3	9
18	то же	8	9
19	как в	4	8
20	то что	7	8
21	же время	4	8
22	т п	11	8
23	в этой	2	8
24	в то	5	8
25	в его	8	8
26	это не	2	7
27	к тому	3	7
28	уже не	3	7
29	не в	9	7
30	еще не	6	7
31	как бы	10	7
32	не может	2	7
33	именно в	2	7
34	а в	3	7
35	никогда не	6	6
36	что в	5	6
37	было бы	2	6
38	жизни в	4	6
39	человека в	6	6
40	в частности	5	5
41	в этих	3	5
42	к себе	4	5
43	может быть	7	5
44	только в	11	5
45	и он	4	5
46	в аспекте	2	5
47	но и	9	5
48	жизни и	8	5
49	и его	12	5
50	потому что	8	5
51	точки зрения	10	5
52	но в	10	5
53	связи с	8	4
54	в своем	5	4
55	та же	3	4
56	и от	2	4
57	и все	6	4
58	в духе	2	4
59	можно сказать	2	4
60	и к	2	4
61	то в	2	4
62	она не	2	4
63	картины мира	2	4
64	мы уже	9	4
65	и о	2	4
66	один из	2	4
67	картина мира	2	4
68	из них	8	4
69	не было	3	4
70	человеческой жизни	4	4
71	того что	3	4
72	он не	5	4
73	в конце	2	4
74	и это	2	4
75	с ним	4	4
76	и с	6	4
77	но не	5	3
78	отнюдь не	4	3
79	но он	2	3
80	с этим	5	3
81	романа в	2	3
82	же в	4	3
83	себе самому	3	3
84	в литературе	2	3
85	в мире	4	3
86	как мы	6	3
87	как его	2	3
88	говорить о	2	3
89	на этом	2	3
90	по своему	2	3
91	в пределах	5	3
92	в нем	5	3
93	все же	6	3
94	в связи	8	3
95	т д	3	3
96	и для	9	3
97	этом отношении	2	3
98	все эти	5	3
99	лишь в	2	3
100	того чтобы	8	3
101	и даже	3	3
102	с точки	8	3
103	и по	3	3
104	тем что	3	3
105	и на	7	3
106	его в	6	3
107	картину мира	7	3
108	а также	3	3
109	том как	3	3
110	автора и	2	2
111	человек в	2	2
112	если в	2	2
113	себя и	3	2
114	в море	3	2
115	и так	2	2
116	в одной	2	2
117	и потому	2	2
118	в себя	2	2
119	по себе	2	2
120	что на	3	2
121	так что	4	2
122	своей жизни	2	2
123	в другом	3	2
124	до конца	2	2
125	хотя и	3	2
126	для других	3	2
127	только для	2	2
128	как он	2	2
129	его жизни	4	2
130	сих пор	2	2
131	в форме	3	2
132	в их	3	2
133	все это	6	2
134	влияние на	2	2
135	особенно в	2	2
136	не знает	2	2
137	и не	9	2
138	жизни как	2	2
139	должно быть	5	2
140	в это	3	2
141	на основе	3	2
142	с этой	4	2
143	отсюда и	2	2
144	здесь не	2	2
145	так сказать	7	2
146	оно было	2	2
147	до сих	2	2
