N	2gram	Losev_Prob_2	Tragedij
1	и в	35	18
2	в этом	17	9
3	не только	24	8
4	он сам	3	7
5	и не	37	7
6	и на	5	7
7	и с	10	7
8	может быть	18	7
9	как бы	4	7
10	что он	4	6
11	но в	6	6
12	все же	8	5
13	так и	7	5
14	не может	13	5
15	то же	5	5
16	как и	5	5
17	в то	6	5
18	несмотря на	3	5
19	но и	16	4
20	то что	38	4
21	в целом	3	4
22	что в	11	4
23	все это	4	4
24	прежде всего	11	4
25	и все	5	4
26	и даже	11	4
27	так же	5	4
28	том что	19	4
29	но это	6	4
30	в этой	9	4
31	и что	13	4
32	в себе	5	4
33	еще не	10	4
34	об этом	2	4
35	уже в	3	3
36	один из	3	3
37	о чем	6	3
38	отнюдь не	5	3
39	в своем	4	3
40	никто не	3	3
41	в конце	7	3
42	все эти	7	3
43	тем самым	7	3
44	и как	4	3
45	к нему	2	3
46	должно быть	2	3
47	в его	7	3
48	что с	2	3
49	при этом	3	3
50	и сам	2	3
51	как будто	6	3
52	то есть	39	3
53	еще в	2	2
54	из самых	2	2
55	не имеет	7	2
56	перед нами	2	2
57	от всего	3	2
58	не могут	4	2
59	не был	4	2
60	что и	2	2
61	она должна	2	2
62	как же	4	2
63	раз и	5	2
64	в частности	5	2
65	состоит из	2	2
66	данном случае	5	2
67	то и	4	2
68	но при	2	2
69	что все	6	2
70	вопрос о	3	2
71	не просто	11	2
72	но эта	3	2
73	уже не	8	2
74	бы и	7	2
75	он вообще	3	2
76	к тому	3	2
77	между этими	2	2
78	не так	2	2
79	и здесь	4	2
80	ни в	6	2
81	в том	12	2
82	но все	2	2
83	так что	11	2
84	в таком	11	2
85	не в	2	2
86	тут же	8	2
87	точно так	3	2
88	в данном	10	2
89	и то	10	2
90	одна из	3	2
91	потому что	13	2
92	ничем не	2	2
93	знает что	2	2
94	с тем	3	2
95	тем что	4	2
96	в виде	6	2
97	только о	8	2
98	и ее	2	2
99	по поводу	2	2
100	о том	18	2
101	его в	3	2
102	и это	5	2
103	в самом	5	2
104	ничего не	10	2
105	он не	2	2
106	что она	4	2
107	собой но	2	2
