N	3gram	Losev_Prob_1	Myshleni
1	с точки зрения	3	21
2	для того чтобы	8	18
3	в этом случае	2	14
4	в том что	5	13
5	не только не	3	9
6	так же как	2	7
7	в данном случае	8	5
8	то же самое	9	5
9	в самом деле	2	4
10	о том что	5	4
11	на то что	8	4
12	и тем самым	3	4
13	не может быть	2	4
14	и то что	2	3
15	только потому что	2	3
16	то и другое	2	3
17	тем не менее	18	3
18	можно сказать что	3	3
19	по этому поводу	3	3
20	до сих пор	3	3
21	содержит в себе	7	3
22	именно в этом	2	2
23	мы говорили выше	2	2
24	о которых мы	2	2
25	точно так же	4	2
26	прежде чем перейти	2	2
27	чем перейти к	2	2
28	на самом деле	4	2
