N	2gram	Nazirov_Tv_2	Formalny
1	и в	20	24
2	в его	10	23
3	прежде всего	8	22
4	и не	9	20
5	так и	6	18
6	не может	7	16
7	в этом	8	15
8	в нем	3	14
9	может быть	8	14
10	таким образом	10	13
11	и т	13	12
12	не менее	2	11
13	как и	6	11
14	в своей	6	11
15	в их	3	11
16	вовсе не	2	10
17	и ее	2	10
18	то же	7	10
19	а не	6	10
20	и его	9	10
21	и потому	4	9
22	в процессе	2	9
23	все это	6	9
24	в то	10	9
25	в ее	2	8
26	же время	7	8
27	именно в	6	8
28	то что	3	8
29	как в	4	8
30	т д	11	8
31	и на	5	8
32	не в	4	8
33	и с	8	8
34	место в	3	7
35	и от	4	7
36	не только	13	7
37	но и	8	7
38	отнюдь не	4	6
39	в том	8	6
40	в этой	5	6
41	самом деле	2	6
42	до сих	3	6
43	еще не	5	6
44	как бы	11	6
45	сих пор	3	6
46	в целом	6	6
47	а в	4	6
48	все эти	4	6
49	в литературе	2	5
50	в искусстве	2	5
51	у нас	2	5
52	при этом	8	5
53	и др	3	5
54	в самом	3	5
55	с другой	2	5
56	но в	4	5
57	в частности	2	4
58	никогда не	11	4
59	с другими	2	4
60	в мире	5	4
61	на западе	3	4
62	если бы	4	4
63	всяком случае	2	4
64	отношению к	3	4
65	так же	5	4
66	по отношению	3	4
67	т п	2	4
68	что в	7	4
69	целом и	2	4
70	друг друга	2	4
71	в которой	2	4
72	с этой	3	4
73	во всяком	2	4
74	в истории	2	4
75	как о	2	4
76	познания и	2	4
77	но не	5	3
78	что он	6	3
79	для него	3	3
80	но это	5	3
81	а н	2	3
82	так например	3	3
83	он не	3	3
84	в основном	6	3
85	если он	5	3
86	один из	3	3
87	все же	5	3
88	и отчасти	3	3
89	когда он	4	3
90	в россии	2	3
91	особенно в	2	3
92	не было	2	3
93	и других	2	3
94	сводится к	2	3
95	мы не	4	3
96	тем самым	4	3
97	и наконец	2	3
98	и даже	5	3
99	его в	3	3
100	более того	2	3
101	в основе	2	3
102	в себе	3	3
103	так сказать	2	3
104	к миру	2	2
105	в душе	4	2
106	же как	3	2
107	его и	2	2
108	жизни в	3	2
109	в лице	4	2
110	это не	7	2
111	в одном	2	2
112	в году	16	2
113	но эта	2	2
114	все время	2	2
115	уже не	3	2
116	одна из	3	2
117	и лишь	2	2
118	в современном	3	2
119	в литературном	2	2
120	только в	2	2
121	и если	2	2
122	одной из	3	2
123	роман и	2	2
124	нет и	2	2
125	точка зрения	2	2
126	герой романа	2	2
127	у тургенева	2	2
128	на него	2	2
129	вместе с	3	2
130	и что	2	2
131	приводит к	2	2
132	во что	2	2
133	не так	2	2
134	из этой	2	2
135	между тем	3	2
136	в своих	3	2
137	на его	4	2
138	к которому	2	2
139	ничего не	4	2
140	но ведь	2	2
141	и это	3	2
142	с ним	3	2
143	быть поняты	2	2
