N	2gram	Bakhtin_Fr_1	Analitik
1	не только	10	22
2	и в	65	18
3	как и	5	14
4	так и	10	14
5	в этом	15	14
6	но и	10	13
7	и его	10	13
8	в частности	5	12
9	том что	6	12
10	и не	22	12
11	при этом	6	11
12	как бы	22	10
13	то есть	45	10
14	может быть	6	9
15	что в	3	9
16	в том	16	9
17	с его	5	8
18	и даже	8	8
19	с другой	3	7
20	но не	2	7
21	в его	9	7
22	во второй	2	7
23	как раз	3	7
24	к тому	2	6
25	не в	4	6
26	для него	5	6
27	еще не	6	6
28	в этой	4	6
29	он не	2	6
30	в их	4	6
31	о том	2	6
32	никогда не	6	5
33	не является	3	5
34	прежде всего	11	5
35	или иной	5	5
36	в самом	4	5
37	и т.п	17	5
38	в сущности	16	5
39	уже не	3	5
40	между тем	5	5
41	в своем	8	4
42	в одном	5	4
43	что он	3	4
44	можно сказать	2	4
45	и к	4	4
46	все же	6	4
47	приводит к	2	4
48	и на	11	4
49	шекспира и	4	4
50	далеко не	3	4
51	и без	2	3
52	из этих	2	3
53	в ее	3	3
54	восходящая к	2	3
55	с их	5	3
56	той или	5	3
57	к жизни	2	3
58	в целом	2	3
59	как в	5	3
60	все это	9	3
61	этом отношении	3	3
62	еще и	5	3
63	в году	6	3
64	что не	2	3
65	по его	3	3
66	роль в	2	3
67	ничего не	3	3
68	здесь и	4	3
69	точки зрения	7	3
70	он и	3	3
71	но как	3	3
72	во всем	2	3
73	его в	7	3
74	в особенности	2	3
75	в противоположность	2	2
76	могут быть	2	2
77	все эти	10	2
78	в них	5	2
79	поэтому в	2	2
80	это не	3	2
81	и от	2	2
82	в жизни	4	2
83	себе самому	2	2
84	в нем	13	2
85	в тех	3	2
86	несмотря на	2	2
87	же в	2	2
88	да и	2	2
89	в романе	2	2
90	в дальнейшем	8	2
91	мира и	4	2
92	по своему	8	2
93	в большинстве	2	2
94	одной стороны	2	2
95	в общем	4	2
96	совершенно не	4	2
97	например в	2	2
98	на его	2	2
99	значительной степени	2	2
100	видеть в	2	2
101	хотя и	2	2
102	в ней	6	2
103	и потому	10	2
104	свое время	2	2
105	по своей	3	2
106	даже в	3	2
107	нам кажется	2	2
108	то что	3	2
109	во всех	9	2
110	связь с	5	2
111	в форме	3	2
112	не может	3	2
113	в отличие	4	2
114	входит в	4	2
115	отношения к	2	2
116	с одной	2	2
117	не для	2	2
118	но с	2	2
119	в себя	3	2
120	и вот	2	2
121	в той	5	2
122	самом деле	3	2
123	в значительной	6	2
124	с точки	3	2
125	и он	2	2
126	и по	2	2
127	и для	2	2
128	и прежде	3	2
129	сказать что	6	2
130	в себе	3	2
131	и здесь	3	2
132	в искусстве	3	2
133	что мы	2	2
134	только в	7	2
135	и все	5	2
136	в свое	2	2
137	дело в	2	2
138	так сказать	4	2
139	отличие от	5	2
140	но в	14	2
141	картине мира	3	2
