N	2gram	Nazirov_Tv_2	Problema
1	то есть	5	39
2	то что	3	38
3	и не	9	37
4	вовсе не	2	37
5	и в	20	35
6	не только	13	24
7	том что	4	19
8	о том	5	18
9	может быть	8	18
10	у нас	2	18
11	в этом	8	17
12	но и	8	16
13	и вообще	2	16
14	только в	2	14
15	не менее	2	13
16	и что	2	13
17	потому что	7	13
18	во всяком	2	13
19	не может	7	13
20	в том	8	12
21	что в	7	11
22	прежде всего	8	11
23	так что	2	11
24	и даже	5	11
25	в таком	3	11
26	всяком случае	2	10
27	и с	8	10
28	таком случае	2	10
29	говорить о	2	10
30	еще не	5	10
31	а не	6	10
32	ничего не	4	10
33	в этой	5	9
34	едва ли	2	9
35	уже не	3	8
36	все же	5	8
37	при помощи	2	8
38	тут же	2	8
39	казалось бы	3	7
40	в конце	6	7
41	не является	3	7
42	все эти	4	7
43	в его	10	7
44	так и	6	7
45	так как	3	7
46	тем самым	4	7
47	мы не	4	7
48	тоже не	2	7
49	с другой	2	6
50	но это	5	6
51	и т	13	6
52	а а	4	6
53	т д	11	6
54	в то	10	6
55	по крайней	2	6
56	крайней мере	2	6
57	в виде	2	6
58	но в	4	6
59	в частности	2	5
60	и без	2	5
61	представление о	7	5
62	в самом	3	5
63	отнюдь не	4	5
64	так же	5	5
65	и на	5	5
66	а ф	3	5
67	как и	6	5
68	но уже	3	5
69	то же	7	5
70	что не	3	5
71	другой стороны	2	5
72	с другими	2	5
73	в себе	3	5
74	и это	3	5
75	и есть	2	4
76	что на	2	4
77	как бы	11	4
78	что она	4	4
79	все это	6	4
80	и только	2	4
81	таким образом	10	4
82	в область	3	4
83	всякого рода	2	4
84	а в	4	4
85	их в	2	4
86	но если	2	4
87	тем что	3	4
88	если бы	4	4
89	что он	6	4
90	но не	5	4
91	до сих	3	4
92	сих пор	3	4
93	если не	4	4
94	самом деле	2	4
95	которой он	2	4
96	вообще говоря	2	4
97	уже в	2	3
98	он сам	3	3
99	или даже	2	3
100	и от	4	3
101	но эта	2	3
102	что они	4	3
103	и если	2	3
104	хотя и	4	3
105	один из	3	3
106	в целом	6	3
107	в их	3	3
108	не было	2	3
109	при этом	8	3
110	и наконец	2	3
111	и по	2	3
112	в своих	3	3
113	в основе	2	3
114	в истории	2	3
115	но ведь	2	3
116	его в	3	3
117	одна из	3	3
118	нет и	2	3
119	бы не	2	3
120	в свете	3	3
121	как о	2	3
122	для определения	2	2
123	от ее	2	2
124	но зато	3	2
125	не в	4	2
126	многое другое	2	2
127	и сам	5	2
128	а скорее	2	2
129	и мы	3	2
130	и др	3	2
131	сводится к	2	2
132	ю м	8	2
133	не так	2	2
134	м с	7	2
135	нет ничего	3	2
136	в плане	3	2
137	только с	2	2
138	однако это	2	2
139	думается что	2	2
140	заставляет нас	3	2
141	в такой	2	2
142	об этом	4	2
143	по преимуществу	2	2
144	он не	3	2
145	вместе с	3	2
146	м лотмана	3	2
147	на него	2	2
148	роль в	2	2
149	и ее	2	2
150	более не	2	2
151	во многих	2	2
152	из этого	2	2
153	и поэтому	2	2
