N	2gram	Medvedev_U_1	VrazhdaK
1	не только	10	9
2	в этом	7	8
3	и в	14	8
4	но и	4	7
5	то что	7	7
6	все же	3	6
7	как и	3	6
8	но в	3	6
9	и с	2	6
10	то же	5	5
11	и не	8	5
12	между тем	2	5
13	в то	3	5
14	же время	3	5
15	в россии	4	5
16	все это	5	4
17	это не	3	4
18	что он	2	4
19	может быть	6	4
20	с его	2	3
21	в конце	2	3
22	и у	2	3
23	в том	2	3
24	том что	2	3
25	тем что	2	3
26	в его	2	3
27	одним из	2	3
28	по нашему	3	3
29	в своей	3	2
30	его и	2	2
31	как раз	2	2
32	не может	7	2
33	таким образом	2	2
34	но это	2	2
35	на первый	2	2
36	же не	2	2
37	в этой	4	2
38	и то	3	2
39	в себе	2	2
40	для него	3	2
41	о чем	2	2
