N	2gram	Berdyaev_V_1	Dialekti
1	не есть	6	40
2	и не	20	30
3	и есть	4	19
4	а не	7	18
5	и т	2	17
6	то что	9	16
7	и в	16	15
8	т д	2	15
9	как бы	5	14
10	не имеет	3	14
11	так как	9	14
12	того что	5	13
13	это не	2	12
14	прежде всего	2	11
15	в том	3	11
16	говорить о	4	11
17	и все	4	11
18	в этом	4	11
19	личности и	3	10
20	потому что	4	10
21	том что	2	10
22	все это	5	9
23	мы не	2	9
24	и что	3	9
25	уже не	2	9
26	ни в	3	8
27	не в	3	8
28	не только	2	8
29	в чем	3	8
30	и это	2	8
31	что в	3	7
32	должна быть	3	7
33	и мы	3	7
34	что мы	4	7
35	что он	4	7
36	как и	4	7
37	только в	2	7
38	хотя и	5	6
39	что и	3	6
40	нет ничего	3	6
41	так и	4	5
42	того чтобы	2	5
43	в ней	4	5
44	в нем	4	5
45	с его	3	5
46	в жизни	3	5
47	что я	3	5
48	в себя	2	5
49	и для	3	5
50	мир и	2	4
51	что все	4	4
52	но это	3	4
53	что они	7	4
54	один из	2	4
55	жизни и	3	4
56	но и	5	4
57	личность как	2	4
58	с тем	2	4
59	еще не	8	4
60	хотя бы	3	4
61	в его	4	4
62	все эти	3	3
63	свободы и	12	3
64	в истории	8	3
65	с ним	2	3
66	но в	3	3
67	от этого	3	3
68	в своей	3	3
69	и потому	7	3
70	бы и	3	3
71	что не	4	3
72	вот почему	2	3
73	и то	2	3
74	могут быть	2	3
75	от него	2	3
76	не могут	2	2
77	человека и	6	2
78	личности а	2	2
79	да и	2	2
80	чудо то	2	2
81	никогда не	3	2
82	в котором	4	2
83	своей истории	2	2
84	но мы	2	2
85	религиозного сознания	5	2
86	не было	3	2
87	и будет	3	2
88	лишь в	3	2
89	должно быть	3	2
90	я говорю	2	2
91	в абсолютном	3	2
92	тот кто	2	2
93	в них	3	2
94	я думаю	2	2
95	и во	2	2
96	что было	2	2
97	не будет	2	2
98	все что	4	2
99	конечно не	2	2
100	что есть	5	2
101	нет и	2	2
102	оно не	3	2
103	нем нет	2	2
104	как не	3	2
105	во всех	3	2
106	ее в	2	2
107	мы хотим	4	2
108	и тогда	2	2
109	истории и	2	2
110	все равно	2	2
111	во всяком	2	2
112	тем что	2	2
113	от этих	2	2
114	это все	2	2
115	не могли	2	2
