N	2gram	Bakhtin_Pr_1	Hudozhes
1	в мире	6	23
2	и не	31	16
3	в том	8	15
4	и в	29	15
5	не только	15	15
6	может быть	24	13
7	при этом	2	12
8	а в	7	12
9	и его	14	12
10	но не	9	11
11	в этом	22	11
12	в себе	7	11
13	как бы	19	10
14	отношению к	8	10
15	но и	14	10
16	так и	7	10
17	по отношению	8	10
18	то же	14	10
19	а не	22	10
20	в его	24	9
21	точки зрения	19	9
22	с другой	3	7
23	в то	10	7
24	но в	7	7
25	в основе	4	6
26	с его	9	6
27	что в	8	6
28	том что	7	6
29	не в	7	6
30	же время	9	6
31	отношение к	2	6
32	приводит к	3	6
33	не может	12	6
34	художественного творчества	3	5
35	могут быть	6	5
36	ни в	3	5
37	только в	10	5
38	в самом	10	5
39	в нем	19	5
40	то что	15	5
41	и одновременно	3	5
42	между ними	2	5
43	другой стороны	3	5
44	в их	3	5
45	уже не	13	5
46	героя и	10	5
47	личности в	4	4
48	прежде всего	7	4
49	и как	7	4
50	для него	18	4
51	еще не	5	4
52	например в	3	4
53	он не	5	4
54	порядка в	3	4
55	в своей	8	4
56	в форме	7	4
57	во времени	3	4
58	как к	3	4
59	входит в	7	4
60	отношения к	3	4
61	сказать что	3	4
62	между тем	5	4
63	не знает	3	4
64	если бы	9	3
65	однако в	2	3
66	в отношении	2	3
67	в противоположность	2	3
68	это не	9	3
69	этом смысле	10	3
70	была бы	3	3
71	что он	8	3
72	и к	2	3
73	в пределах	13	3
74	как раз	6	3
75	далеко не	3	3
76	к нему	6	3
77	в целом	6	3
78	не на	4	3
79	таким образом	12	3
80	как и	12	3
81	в той	2	3
82	и что	2	3
83	внешнего мира	3	3
84	с точки	13	3
85	во всей	2	3
86	и для	4	3
87	их в	4	3
88	потому что	8	3
89	автора и	5	3
90	но он	2	3
91	и ее	2	3
92	в данном	2	3
93	в структуре	2	3
94	его в	6	3
95	в художественном	3	3
96	в произведении	4	3
97	в которой	2	3
98	я не	3	2
99	ни был	2	2
100	в контексте	2	2
101	себя и	2	2
102	тому что	3	2
103	в своем	8	2
104	в них	3	2
105	превращается в	4	2
106	или даже	2	2
107	не как	14	2
108	в пространстве	3	2
109	в одном	10	2
110	вовсе не	7	2
111	вследствие этого	2	2
112	по себе	8	2
113	для понимания	2	2
114	в литературе	4	2
115	что может	2	2
116	идет о	4	2
117	одна из	3	2
118	тем или	2	2
119	с их	5	2
120	и сам	2	2
121	несмотря на	6	2
122	мира в	5	2
123	за пределы	7	2
124	и о	5	2
125	совпадает с	2	2
126	и потому	6	2
127	для автора	2	2
128	на почве	3	2
129	даже в	4	2
130	для себя	2	2
131	оно не	3	2
132	и др	5	2
133	художественного мира	5	2
134	по преимуществу	2	2
135	как в	6	2
136	одного сознания	9	2
137	в романе	9	2
138	именно в	5	2
139	все эти	9	2
140	это и	5	2
141	в себя	3	2
142	не входит	3	2
143	из которых	2	2
144	к другому	2	2
145	так же	6	2
146	с ним	5	2
147	в художественной	2	2
148	с другими	7	2
149	и на	7	2
150	нового времени	3	2
151	у него	5	2
152	одно из	2	2
153	самим собою	2	2
154	о себе	12	2
155	но как	3	2
156	в этой	4	2
157	отношении к	3	2
158	и это	5	2
159	всей его	2	2
160	автора как	3	2
161	мира и	7	2
