N	2gram	Bakhtin_Fr_4	Tvorches
1	и в	29	21
2	как бы	8	17
3	в то	10	15
4	в его	8	13
5	то же	10	13
6	как и	12	12
7	же время	8	12
8	то есть	21	12
9	с его	4	11
10	том что	3	11
11	в романе	10	10
12	все это	4	10
13	как в	2	8
14	он не	3	8
15	то что	4	8
16	у него	5	7
17	в том	7	7
18	при этом	3	7
19	не только	10	7
20	и не	16	7
21	в году	3	7
22	и на	11	7
23	но в	12	7
24	что он	4	6
25	жизни в	2	6
26	и все	13	6
27	в котором	2	6
28	и его	8	6
29	в этом	11	6
30	о том	2	6
31	вовсе не	9	5
32	но это	4	5
33	может быть	2	5
34	в этой	13	5
35	все же	3	5
36	таким образом	20	5
37	в своих	2	5
38	как будто	2	5
39	только в	2	5
40	в своем	3	4
41	прежде всего	8	4
42	и как	3	4
43	времени и	2	4
44	одной из	2	4
45	один из	4	4
46	своего рода	6	4
47	в своей	5	4
48	не может	2	4
49	это не	5	4
50	не случайно	3	4
51	на эту	3	4
52	место в	2	3
53	уже в	2	3
54	самого начала	3	3
55	и другие	2	3
56	никогда не	2	3
57	с другой	4	3
58	это в	2	3
59	с ним	2	3
60	с ее	3	3
61	это и	5	3
62	с самого	3	3
63	в дальнейшем	3	3
64	соответствии с	2	3
65	что я	2	3
66	но не	2	3
67	на его	2	3
68	той же	3	3
69	в нем	5	3
70	жизни и	4	3
71	но и	9	3
72	в ту	2	3
73	в их	2	3
74	уже не	2	3
75	и других	3	3
76	на самом	4	3
77	там же	3	3
78	того что	3	3
79	и даже	3	3
80	и по	5	3
81	так же	7	3
82	в которой	4	3
83	связан с	4	3
84	и с	9	3
85	хотя и	2	3
86	далеко не	5	3
87	дело в	2	3
88	так как	7	3
89	в основе	2	2
90	такой же	3	2
91	перед нами	4	2
92	а как	2	2
93	в частности	3	2
94	в этих	2	2
95	в качестве	3	2
96	не столько	2	2
97	в жизни	2	2
98	в кн	5	2
99	к этому	2	2
100	в литературе	4	2
101	а затем	3	2
102	то в	3	2
103	быть может	2	2
104	того же	5	2
105	было в	2	2
106	до конца	5	2
107	на площади	2	2
108	тот же	3	2
109	из них	6	2
110	к тому	2	2
111	по преимуществу	3	2
112	некоторые из	3	2
113	в одной	2	2
114	в ней	3	2
115	же и	3	2
116	площади и	2	2
117	этом он	2	2
118	если в	2	2
119	в образах	8	2
120	во второй	2	2
121	но она	2	2
122	так и	11	2
123	ту эпоху	2	2
124	как к	3	2
125	именно в	2	2
126	одновременно и	3	2
127	в себя	2	2
128	но только	2	2
129	не мог	2	2
130	вокруг себя	2	2
131	и у	2	2
132	и наконец	2	2
133	на свете	2	2
134	представлений о	2	2
135	или в	2	2
136	где он	2	2
137	сказать что	5	2
138	но он	6	2
139	в себе	3	2
140	в один	2	2
141	так сказать	2	2
142	в чем	3	2
143	в виду	2	2
