N	3gram	Vygotskiy__4	Marksizm
1	с точки зрения	11	13
2	в связи с	3	7
3	в том что	31	6
4	для того чтобы	5	6
5	в самом деле	6	5
6	в свою очередь	2	5
7	то же самое	7	5
8	и того же	5	4
9	смысле этого слова	7	4
10	одного и того	5	4
11	одно и то	6	3
12	с одной стороны	9	3
13	как мы уже	3	3
14	о том что	3	3
15	в отличие от	2	3
16	и то же	6	3
17	как мы видели	2	3
18	в высшей степени	2	3
19	с нашей точки	2	2
20	нашей точки зрения	2	2
21	в следующей главе	2	2
22	на то что	4	2
23	все более и	2	2
24	в собственном смысле	7	2
25	и тем же	3	2
26	во всяком случае	3	2
27	одним и тем	3	2
28	то же слово	3	2
29	одной стороны и	2	2
30	но и в	2	2
31	более и более	2	2
