N	2gram	Bakhtin_sl_2	Komedia
1	и в	39	22
2	и не	22	21
3	том что	5	13
4	в том	5	12
5	таким образом	8	12
6	так как	4	11
7	ни в	4	10
8	до сих	2	9
9	вместе с	2	9
10	сих пор	2	9
11	в своем	6	8
12	что он	2	8
13	к ней	2	8
14	в его	7	8
15	что и	3	8
16	в этом	16	8
17	о том	2	8
18	его в	4	8
19	при этом	7	7
20	в свою	3	7
21	то же	4	7
22	а в	4	7
23	свою очередь	2	6
24	еще не	7	6
25	для того	2	6
26	может быть	37	6
27	того чтобы	2	6
28	и его	33	6
29	в то	4	6
30	не менее	4	5
31	связи с	3	5
32	что в	3	5
33	же время	4	5
34	прежде всего	8	5
35	как это	3	5
36	хотя и	2	5
37	не только	24	5
38	отношение к	4	5
39	все это	16	5
40	по отношению	4	5
41	он не	2	5
42	к нему	3	5
43	с ним	7	5
44	но в	6	5
45	но все	5	4
46	у него	3	4
47	однако в	2	4
48	с другой	5	4
49	вовсе не	10	4
50	и здесь	2	4
51	все же	6	4
52	не в	9	4
53	до конца	17	4
54	в ней	3	4
55	и т	35	4
56	то что	2	4
57	но и	21	4
58	на него	2	4
59	и речи	2	4
60	т п	33	4
61	в отношении	4	4
62	с помощью	4	4
63	а не	14	4
64	и для	5	4
65	точки зрения	8	4
66	в себе	2	4
67	в связи	2	4
68	так и	15	4
69	хотя бы	3	4
70	и с	9	4
71	с его	7	3
72	никогда не	7	3
73	в них	6	3
74	на них	2	3
75	с этим	2	3
76	в нем	19	3
77	далеко не	2	3
78	и к	6	3
79	как и	6	3
80	чем в	2	3
81	все что	2	3
82	одной стороны	5	3
83	конечно не	5	3
84	как бы	7	3
85	из себя	3	3
86	один из	5	3
87	отношению к	4	3
88	дело с	4	3
89	не может	20	3
90	с одной	5	3
91	с точки	3	3
92	и даже	7	3
93	во всяком	3	3
94	говорить о	3	3
95	не знает	2	3
96	как он	2	3
97	всяком случае	2	3
98	в основе	4	2
99	остается в	5	2
100	уже в	2	2
101	себя и	4	2
102	пор не	2	2
103	обстоит дело	2	2
104	как в	13	2
105	это не	5	2
106	и особенно	2	2
107	и все	5	2
108	в одном	2	2
109	человека и	3	2
110	не могут	5	2
111	стороны и	3	2
112	к своему	9	2
113	этом случае	6	2
114	его от	3	2
115	без всякого	2	2
116	отличие от	13	2
117	х годов	2	2
118	она не	6	2
119	в пределах	13	2
120	на его	2	2
121	в сущности	6	2
122	за пределы	2	2
123	одним из	2	2
124	известной степени	2	2
125	а также	3	2
126	должен быть	2	2
127	не с	3	2
128	во всех	12	2
129	в их	2	2
130	как мы	7	2
131	его не	4	2
132	отношения к	4	2
133	не было	2	2
134	этом отношении	3	2
135	человека в	5	2
136	не приходится	3	2
137	мы не	2	2
138	роль в	2	2
139	с другими	4	2
140	в таком	4	2
141	меньше чем	2	2
142	и на	4	2
143	людей и	2	2
144	в результате	2	2
145	между тем	3	2
146	за ней	2	2
147	нуждается в	2	2
148	в другом	2	2
149	здесь не	4	2
150	в области	2	2
