N	3gram	Savitsky_E_1	Problema
1	не может быть	2	11
2	с точки зрения	16	6
3	в большинстве случаев	2	5
4	и прежде всего	3	5
5	в данном случае	2	4
6	с другой стороны	2	4
7	то же время	14	3
8	в то же	15	3
9	с одной стороны	8	3
10	можно было бы	3	3
11	бы то ни	4	3
12	в применении к	3	3
13	в этом смысле	3	3
14	в том что	6	3
15	то ни было	4	2
16	той или иной	4	2
17	так и в	2	2
18	и в то	8	2
19	не только в	4	2
20	того или иного	4	2
21	можно сказать что	3	2
22	в известной степени	3	2
23	имеет место в	2	2
24	и в частности	2	2
25	в этом отношении	3	2
26	мы можем сказать	2	2
27	для того чтобы	5	2
