N	3gram	Vygotskiy__7	Problema
1	о том что	4	14
2	тем не менее	3	12
3	в этом случае	14	7
4	и то что	3	7
5	в данном случае	5	5
6	то же самое	5	5
7	с одной стороны	5	5
8	на то что	4	4
9	до сих пор	3	4
10	в том что	13	4
11	одной стороны и	3	3
12	можно сказать что	3	3
13	точно так же	2	3
14	не может быть	4	3
15	с самого начала	7	2
16	для того чтобы	18	2
17	по этому поводу	3	2
18	том что в	2	2
19	друг от друга	2	2
20	в самом деле	4	2
21	не совпадает с	3	2
22	в себе в	2	2
23	не только не	9	2
24	содержит в себе	3	2
25	и той же	2	2
26	но и не	3	2
27	на самом деле	2	2
28	одной и той	2	2
29	заключается в том	4	2
