N	2gram	Vygotskiy__2	TeoriaLi
1	не только	15	18
2	в качестве	4	17
3	и не	7	16
4	а в	4	14
5	в частности	6	13
6	и в	15	13
7	состоит в	3	13
8	может быть	9	12
9	так и	8	12
10	представляет собой	2	11
11	при этом	3	11
12	в этом	19	11
13	в том	33	11
14	но не	3	10
15	а не	3	10
16	и его	4	10
17	в его	2	9
18	то же	5	9
19	что в	14	8
20	отношению к	5	8
21	но и	10	8
22	по отношению	6	8
23	в себе	2	7
24	том что	27	7
25	в отличие	3	7
26	в данном	3	7
27	точки зрения	26	7
28	по своей	6	7
29	только в	4	7
30	как это	6	7
31	отличие от	3	7
32	с его	4	6
33	в первой	2	6
34	лишь в	3	6
35	как бы	7	6
36	но в	6	6
37	в своем	9	5
38	или иной	2	5
39	а также	2	5
40	как и	6	5
41	не в	8	5
42	в самом	11	5
43	роли в	2	5
44	данном случае	3	5
45	как в	4	5
46	он не	7	5
47	тем самым	3	5
48	с другой	6	5
49	мы имеем	3	5
50	конечном счете	4	4
51	можно сказать	2	4
52	ни в	2	4
53	более или	2	4
54	в конечном	4	4
55	в своей	4	4
56	то что	20	4
57	или менее	2	4
58	в их	2	4
59	приводит к	5	4
60	и т.п	7	4
61	не может	9	4
62	по пути	2	4
63	сказать что	6	4
64	и ее	3	4
65	говорить о	2	4
66	мира и	2	4
67	перед нами	2	3
68	и др	5	3
69	никогда не	8	3
70	говоря словами	2	3
71	в этих	2	3
72	в отношении	6	3
73	в противоположность	2	3
74	он должен	2	3
75	этом смысле	2	3
76	прежде всего	4	3
77	и к	6	3
78	человека к	2	3
79	для него	3	3
80	того что	17	3
81	и сам	3	3
82	той или	2	3
83	этого слова	3	3
84	с ее	2	3
85	как раз	4	3
86	таким образом	14	3
87	а с	4	3
88	именно в	2	3
89	в другом	2	3
90	и что	8	3
91	и по	3	3
92	или в	3	3
93	потому что	7	3
94	в основе	3	3
95	речи и	15	3
96	что можно	3	3
97	в этой	6	3
98	и т.д	12	3
99	все эти	3	3
100	к которому	6	3
101	сама по	2	2
102	но на	3	2
103	и составляет	2	2
104	если бы	8	2
105	к действительности	8	2
106	могут быть	2	2
107	за пределы	2	2
108	того же	3	2
109	это не	5	2
110	этих двух	2	2
111	вовсе не	6	2
112	по себе	7	2
113	что он	12	2
114	к тому	7	2
115	об этом	3	2
116	и как	2	2
117	в присутствии	2	2
118	что они	3	2
119	казалось бы	8	2
120	одной стороны	7	2
121	одной из	3	2
122	из которых	3	2
123	иначе говоря	2	2
124	к его	2	2
125	в виду	6	2
126	чем это	3	2
127	даже в	4	2
128	и особенно	3	2
129	не могло	2	2
130	и тем	2	2
131	как говорит	2	2
132	в целом	10	2
133	принадлежит к	2	2
134	во всех	2	2
135	вместе с	6	2
136	со стороны	3	2
137	между которыми	2	2
138	вытекает из	3	2
139	мышления и	16	2
140	и для	2	2
141	с одной	7	2
142	в себя	2	2
143	говорит что	5	2
144	с точки	18	2
145	и даже	5	2
146	во всей	5	2
147	так же	4	2
148	их в	4	2
149	у него	2	2
150	не следует	2	2
151	о том	9	2
152	и это	3	2
153	в которой	4	2
154	на деле	5	2
