N	3gram	Losev_Vesc_1	Myslijsy
1	то что я	2	7
2	в том что	4	7
3	по крайней мере	4	5
4	о том что	4	5
5	не может быть	6	5
6	можно сказать что	3	4
7	только тогда когда	2	4
8	тем не менее	3	4
9	сам по себе	3	4
10	и то что	3	4
11	для того чтобы	2	4
12	на то что	2	4
13	не есть только	2	3
14	во всяком случае	2	3
15	не только не	2	3
16	с точки зрения	3	3
17	и т д	19	3
18	сами по себе	3	2
19	есть то что	4	2
20	так или иначе	4	2
21	в данном случае	2	2
22	не что иное	7	2
23	то и другое	4	2
24	мы имеем дело	2	2
25	равно как и	2	2
26	подобно тому как	4	2
27	между собою и	2	2
28	что иное как	7	2
