N	2gram	Nazirov_Tv_1	KulturaY
1	и т	3	33
2	в том	7	30
3	и в	21	24
4	потому что	5	23
5	том что	11	21
6	т п	2	18
7	что в	12	17
8	в этом	6	14
9	может быть	5	13
10	все же	5	12
11	таким образом	5	12
12	в его	13	12
13	и не	7	12
14	не в	2	11
15	только в	5	11
16	вовсе не	5	10
17	в самом	3	10
18	не только	7	10
19	хотя бы	5	10
20	то что	8	9
21	прежде всего	4	9
22	самом деле	2	9
23	того что	3	9
24	о том	6	9
25	так как	3	9
26	то же	13	8
27	уже не	3	8
28	а не	5	8
29	не менее	6	7
30	с другой	3	7
31	в качестве	2	7
32	как бы	17	7
33	вместе с	2	7
34	не может	4	7
35	это не	4	7
36	так и	2	7
37	именно в	2	6
38	что он	6	6
39	при этом	7	6
40	в ней	2	6
41	но и	3	6
42	все это	10	6
43	не случайно	4	6
44	в которой	3	6
45	по крайней	2	5
46	к тому	2	5
47	крайней мере	2	5
48	но не	3	5
49	что не	2	5
50	в виду	2	5
51	а в	6	5
52	и его	6	5
53	xix века	6	5
54	так сказать	2	5
55	с ним	3	5
56	и с	3	5
57	с его	11	4
58	в частности	2	4
59	в этих	2	4
60	в нем	3	4
61	иными словами	2	4
62	того же	2	4
63	из них	2	4
64	это и	3	4
65	один из	4	4
66	что и	2	4
67	тем не	2	4
68	в целом	4	4
69	как в	8	4
70	тем самым	7	4
71	так что	2	4
72	так же	3	4
73	и на	7	4
74	в данном	2	4
75	уже в	3	3
76	представление о	3	3
77	в духе	2	3
78	можно сказать	2	3
79	в первом	2	3
80	в соответствии	3	3
81	соответствии с	3	3
82	в этой	5	3
83	в свою	7	3
84	гораздо более	2	3
85	не имеют	4	3
86	на том	2	3
87	в котором	6	3
88	даже в	3	3
89	на его	3	3
90	когда он	2	3
91	что она	2	3
92	в своем	4	3
93	в их	3	3
94	и даже	3	3
95	и он	2	3
96	той же	3	3
97	хотя и	3	3
98	в себе	2	3
99	я не	3	2
100	никогда не	3	2
101	и все	6	2
102	что все	3	2
103	в каждом	3	2
104	на самом	3	2
105	в то	15	2
106	что его	2	2
107	и того	2	2
108	как и	12	2
109	и как	4	2
110	же время	12	2
111	традиции в	2	2
112	тот же	2	2
113	было в	2	2
114	в своей	4	2
115	по преимуществу	2	2
116	одним из	4	2
117	же и	2	2
118	но если	3	2
119	если в	2	2
120	к жизни	2	2
121	был бы	2	2
122	и тем	2	2
123	ее в	3	2
124	и против	2	2
125	дело не	3	2
126	справедливо указывает	2	2
127	он не	8	2
128	не мог	2	2
129	свидетельствует о	2	2
130	или в	2	2
131	раз на	2	2
132	не столько	2	2
133	что я	3	2
134	о котором	2	2
135	на эту	4	2
136	ли в	2	2
137	до конца	2	2
138	но в	7	2
