N	2gram	Potebnia_M_3	Problema
1	то есть	34	46
2	в его	4	43
3	и не	15	42
4	и в	30	38
5	и проч	16	28
6	не может	6	27
7	может быть	28	26
8	как бы	3	22
9	по отношению	5	21
10	отношению к	5	19
11	и с	2	17
12	к содержанию	3	17
13	и его	4	16
14	в нем	9	15
15	в этом	10	15
16	и т	5	14
17	независимо от	5	13
18	прежде всего	3	13
19	только в	21	13
20	т п	2	13
21	за пределы	2	12
22	в искусстве	3	12
23	но не	7	12
24	ни в	2	11
25	художественного произведения	5	11
26	в области	2	11
27	к нему	3	10
28	отношение к	2	10
29	в их	2	10
30	таким образом	14	10
31	но и	19	9
32	не имеет	6	9
33	его в	3	9
34	не только	21	9
35	место в	3	8
36	в том	32	8
37	и как	5	8
38	точки зрения	2	8
39	было бы	9	8
40	то что	18	8
41	входит в	2	8
42	художественное произведение	6	8
43	слова в	7	7
44	содержание в	3	7
45	что в	17	7
46	с другой	7	7
47	не в	15	7
48	в самом	8	7
49	между тем	9	7
50	как и	10	7
51	еще не	5	7
52	в своей	2	7
53	как мы	7	7
54	не всегда	2	6
55	не к	4	6
56	можно только	2	6
57	и наконец	2	6
58	а в	12	6
59	только как	5	6
60	не есть	17	6
61	все же	2	6
62	самом деле	2	6
63	мы можем	3	6
64	там где	3	6
65	то же	23	5
66	в своем	5	5
67	при этом	3	5
68	должно быть	5	5
69	далеко не	4	5
70	с ним	6	5
71	в них	5	5
72	художественном произведении	3	5
73	со словом	4	5
74	и о	2	5
75	художника и	2	5
76	так и	11	5
77	а не	15	5
78	быть только	4	5
79	могут быть	3	5
80	не менее	5	4
81	только по	5	4
82	в ней	8	4
83	другой стороны	4	4
84	в форме	2	4
85	в других	2	4
86	сказать что	5	4
87	в то	10	4
88	о том	2	4
89	в произведении	3	4
90	и потому	4	4
91	вне себя	2	4
92	значение слова	5	4
93	перестает быть	4	4
94	содержания в	2	4
95	в ее	2	4
96	относится к	4	4
97	как в	10	4
98	тем самым	7	4
99	что не	8	4
100	в себе	16	4
101	себя и	4	3
102	и от	4	3
103	слова но	2	3
104	тем не	3	3
105	но это	6	3
106	же время	5	3
107	одной стороны	3	3
108	несмотря на	2	3
109	например в	6	3
110	искусства и	3	3
111	и тем	5	3
112	в целом	3	3
113	природы и	2	3
114	все это	4	3
115	и содержание	2	3
116	с одной	7	3
117	и даже	2	3
118	и на	3	3
119	языка в	5	3
120	а как	2	3
121	если бы	12	3
122	и все	3	3
123	поэтического произведения	2	3
124	том что	18	3
125	говорить о	3	3
126	от него	2	3
127	все что	4	3
128	может стать	2	3
129	действительности и	3	3
130	одной из	2	3
131	он не	4	3
132	оно не	4	3
133	слова не	2	3
134	на него	3	3
135	связь с	3	3
136	в слове	32	3
137	в таком	3	3
138	с другими	5	3
139	не знает	3	3
140	слова и	5	3
141	и это	4	3
142	не могут	5	2
143	том как	3	2
144	и есть	3	2
145	предметом и	2	2
146	в какой	2	2
147	столь же	4	2
148	что все	3	2
149	в каждом	3	2
150	была бы	4	2
151	например при	2	2
152	для понимания	4	2
153	на то	2	2
154	от них	2	2
155	можно сказать	3	2
156	всего человека	2	2
157	а только	3	2
158	что оно	11	2
159	не можем	3	2
160	в свою	3	2
161	не дает	2	2
162	по поводу	4	2
163	что это	4	2
164	в котором	4	2
165	не было	4	2
166	этом отношении	2	2
167	и что	10	2
168	того что	18	2
169	дает нам	3	2
170	есть только	5	2
171	слова с	3	2
172	не следует	5	2
173	только при	2	2
174	но как	2	2
175	в начале	3	2
176	мы должны	4	2
177	слово в	4	2
178	себе не	4	2
179	не все	4	2
180	к этому	3	2
181	вовсе не	7	2
182	есть выражение	2	2
183	есть не	7	2
184	что он	6	2
185	а к	3	2
186	и при	4	2
187	связи с	2	2
188	что содержание	5	2
189	единство и	2	2
190	она не	2	2
191	том же	2	2
192	что и	13	2
193	бы не	4	2
194	к своему	2	2
195	того чтобы	3	2
196	для того	4	2
197	слово и	3	2
198	то или	2	2
199	или в	3	2
200	на мир	2	2
201	тем что	7	2
202	в виде	2	2
203	и вообще	3	2
204	что эта	2	2
205	души и	2	2
206	в чем	3	2
207	при восприятии	2	2
