N	2gram	Nazirov_Tv_1	Komedia
1	и в	21	22
2	том что	11	12
3	в том	7	11
4	но и	3	11
5	не только	7	10
6	из них	2	10
7	в то	15	10
8	как и	12	9
9	и т	3	9
10	может быть	5	9
11	таким образом	5	8
12	и не	7	8
13	и его	6	8
14	о том	6	8
15	в этой	5	7
16	и других	3	7
17	что в	12	6
18	одного из	2	6
19	что он	6	6
20	к тому	2	6
21	и по	3	6
22	то же	13	6
23	не в	2	6
24	а в	6	6
25	в которой	3	6
26	уже в	3	5
27	с другой	3	5
28	прежде всего	4	5
29	при этом	7	5
30	в его	13	5
31	еще в	2	5
32	один из	4	5
33	на его	3	5
34	так и	2	5
35	как в	8	5
36	все это	10	5
37	и даже	3	5
38	потому что	5	5
39	т п	2	5
40	именно в	2	4
41	в их	3	4
42	к этому	2	4
43	в в	2	4
44	на протяжении	3	4
45	в качестве	2	4
46	же время	12	4
47	в котором	6	4
48	в нем	3	4
49	что и	2	4
50	известно что	2	4
51	так как	3	4
52	но в	7	4
53	место в	3	3
54	не менее	6	3
55	все более	2	3
56	однако в	2	3
57	и как	4	3
58	тот же	2	3
59	во второй	2	3
60	одной из	4	3
61	и у	2	3
62	в частности	2	3
63	у него	7	3
64	хотя и	3	3
65	он не	8	3
66	даже в	3	3
67	все же	5	3
68	в целом	4	3
69	так же	3	3
70	в году	7	3
71	там же	3	3
72	здесь мы	2	3
73	не мог	2	3
74	и на	7	3
75	в этом	6	3
76	и с	3	3
77	в виде	3	3
78	могут быть	2	3
79	только в	5	3
80	и все	6	3
81	в чем	2	3
82	времени и	4	2
83	раз на	2	2
84	и мир	2	2
85	вовсе не	5	2
86	в свою	7	2
87	тем не	2	2
88	протяжении всего	2	2
89	из всех	4	2
90	такой же	2	2
91	одна из	2	2
92	но не	3	2
93	того же	2	2
94	в себя	2	2
95	до конца	2	2
96	в самом	3	2
97	из других	2	2
98	и тем	2	2
99	с ее	3	2
100	то что	8	2
101	времени это	2	2
102	в первой	2	2
103	вместе с	2	2
104	ее в	3	2
105	вслед за	2	2
106	который в	3	2
107	только что	2	2
108	в настоящем	2	2
109	не может	4	2
110	в принципе	2	2
111	и притом	2	2
112	или в	2	2
113	где он	2	2
114	но это	5	2
115	к ней	2	2
116	но он	2	2
117	в своих	5	2
118	это время	2	2
119	в себе	2	2
120	в финале	4	2
121	ту же	3	2
122	как будто	5	2
123	отличие от	2	2
