N	2gram	Tiupa_Hudo_2	SlovoVZh
1	не может	4	16
2	точки зрения	2	14
3	может быть	8	14
4	и его	5	13
5	как бы	5	13
6	и в	28	12
7	в нашем	2	11
8	отношению к	7	11
9	по отношению	7	11
10	и не	18	10
11	если бы	6	9
12	прежде всего	3	8
13	для нас	3	7
14	сказать что	2	7
15	в нем	3	6
16	все время	3	6
17	при этом	11	6
18	в том	15	6
19	только в	4	6
20	в ней	3	6
21	в жизни	8	5
22	то что	6	5
23	никогда не	5	5
24	а не	14	5
25	можно сказать	6	5
26	то же	6	5
27	хотя бы	2	5
28	как и	11	5
29	том что	19	5
30	отнюдь не	2	5
31	как в	5	5
32	героя и	3	5
33	но в	2	5
34	и к	2	4
35	все же	2	4
36	отношение к	2	4
37	жизни и	6	4
38	так и	8	4
39	с другой	3	4
40	уже не	10	4
41	что не	2	4
42	не в	13	4
43	в этом	13	4
44	и на	3	4
45	его в	2	4
46	в самом	5	4
47	к нему	3	4
48	не только	11	4
49	в котором	6	3
50	в них	3	3
51	и уже	4	3
52	не менее	5	3
53	в художественном	4	3
54	в своей	6	3
55	сих пор	2	3
56	все это	3	3
57	но и	9	3
58	тем не	4	3
59	да и	5	3
60	так же	3	3
61	самом деле	3	3
62	и с	6	3
63	о том	12	3
64	нуждается в	2	3
65	и ее	3	3
66	в себе	9	3
67	для него	5	3
68	до сих	2	3
69	еще не	3	3
70	только на	5	3
71	и для	2	3
72	здесь не	2	3
73	с ним	7	3
74	между тем	8	3
75	как только	3	2
76	место в	2	2
77	автора и	2	2
78	с его	5	2
79	что и	4	2
80	в душе	8	2
81	что в	5	2
82	данном случае	2	2
83	вместе с	2	2
84	себя и	2	2
85	в этих	3	2
86	на него	3	2
87	все они	3	2
88	в своем	5	2
89	нет ничего	2	2
90	это не	6	2
91	дело с	2	2
92	и все	7	2
93	бы не	3	2
94	и другие	5	2
95	тому же	2	2
96	с одной	3	2
97	была бы	3	2
98	те же	2	2
99	автором и	2	2
100	вместе со	2	2
101	едва ли	3	2
102	с точки	2	2
103	как же	2	2
104	же самое	3	2
105	как на	2	2
106	с другими	3	2
107	для других	3	2
108	в данном	2	2
109	и то	2	2
110	тем как	2	2
111	но не	4	2
112	но тем	2	2
113	она не	5	2
114	в то	6	2
115	одной стороны	3	2
116	как уже	2	2
117	оно не	2	2
118	как это	7	2
119	ничего не	5	2
120	он не	4	2
121	в его	11	2
122	между ними	2	2
