N	2gram	Losev_Vlad_3	RusskieA
1	и в	40	29
2	что в	17	22
3	том что	18	22
4	в том	18	22
5	как бы	3	18
6	может быть	8	13
7	так как	7	13
8	там же	7	12
9	как и	7	11
10	в этом	16	11
11	в этот	2	10
12	и с	9	10
13	не только	25	10
14	о том	11	9
15	а в	7	9
16	но и	18	8
17	ее в	3	8
18	его в	2	8
19	мы видели	3	7
20	данном случае	2	7
21	с тем	7	6
22	мы не	2	6
23	же в	3	6
24	еще не	4	6
25	для того	2	6
26	для нас	5	6
27	вместе с	7	6
28	таким образом	11	6
29	при этом	3	6
30	того чтобы	3	6
31	и на	6	6
32	в данном	5	6
33	мы имеем	3	6
34	потому что	11	5
35	это не	3	5
36	к этому	2	5
37	то что	28	5
38	и что	8	5
39	но не	4	5
40	не может	14	5
41	но в	4	5
42	именно в	3	4
43	и все	4	4
44	не все	3	4
45	вопрос о	4	4
46	уже не	9	4
47	по существу	4	4
48	так что	14	4
49	не в	3	4
50	из них	2	4
51	к нему	3	4
52	же как	3	4
53	а также	8	4
54	так же	8	4
55	то и	2	4
56	то же	4	4
57	у нас	5	4
58	а не	8	4
59	в таком	3	4
60	в виде	13	4
61	далеко не	3	4
62	как это	4	4
63	тем что	5	3
64	должен был	2	3
65	в этих	2	3
66	в качестве	3	3
67	и от	6	3
68	в году	10	3
69	а наоборот	3	3
70	на первый	2	3
71	как например	2	3
72	она не	2	3
73	что здесь	3	3
74	до конца	4	3
75	того что	7	3
76	было бы	4	3
77	и о	4	3
78	что она	2	3
79	но если	5	3
80	в котором	4	3
81	не имеет	4	3
82	а именно	12	3
83	в отличие	3	3
84	все эти	5	3
85	и по	2	3
86	друг друга	2	3
87	как мы	8	3
88	выше мы	2	3
89	в этой	8	3
90	что это	9	3
91	отличие от	3	3
92	не менее	9	2
93	с этой	2	2
94	связи с	2	2
95	об этом	6	2
96	никогда не	11	2
97	по этому	3	2
98	с другой	5	2
99	не столько	3	2
100	из этих	3	2
101	прежде всего	10	2
102	как можно	2	2
103	не был	8	2
104	что и	7	2
105	говорит о	4	2
106	кроме того	6	2
107	и как	7	2
108	самом же	2	2
109	в европе	2	2
110	чем в	4	2
111	совсем не	5	2
112	в глаза	4	2
113	то время	4	2
114	сил то	2	2
115	здесь в	4	2
116	бросается в	2	2
117	одной стороны	3	2
118	же деле	2	2
119	совершенно не	2	2
120	что на	2	2
121	все то	3	2
122	тем не	10	2
123	из этого	2	2
124	в церкви	2	2
125	в виду	3	2
126	еще в	5	2
127	не с	4	2
128	все же	4	2
129	в своей	9	2
130	не к	2	2
131	в их	2	2
132	но можно	2	2
133	а и	2	2
134	а с	4	2
135	не было	5	2
136	с одной	3	2
137	в течение	4	2
138	на самом	3	2
139	и для	3	2
140	должно быть	5	2
141	можно было	5	2
142	жизнь и	3	2
143	в своих	7	2
144	и то	9	2
145	которое в	3	2
146	с этим	2	2
147	на себя	2	2
148	это время	2	2
149	под названием	9	2
150	и еще	2	2
151	во всем	6	2
152	в то	7	2
153	заметить что	2	2
154	в которой	2	2
155	церкви и	3	2
156	не можем	2	2
