N	2gram	Berdyaev_M_2	slovoVRo
1	и в	46	41
2	в нем	22	30
3	во всех	2	17
4	но и	15	16
5	и не	18	16
6	точки зрения	2	16
7	не только	18	16
8	а не	13	15
9	то же	5	14
10	может быть	21	14
11	не может	15	14
12	и его	5	14
13	и на	3	14
14	в сущности	2	13
15	в его	5	13
16	до конца	4	12
17	как бы	8	12
18	в этом	20	12
19	так и	4	11
20	или иной	2	9
21	себя в	4	9
22	прежде всего	12	8
23	на его	2	8
24	но в	10	8
25	как в	7	8
26	не в	9	7
27	отношение к	8	7
28	с ним	3	7
29	в своей	5	7
30	в отношении	5	6
31	это не	5	6
32	а в	2	6
33	в них	3	6
34	оно не	2	6
35	к своему	2	6
36	только в	3	6
37	отношении к	3	6
38	и мир	2	5
39	со своим	2	5
40	в самом	5	5
41	в основе	2	5
42	и к	7	5
43	еще более	2	5
44	к нему	2	5
45	он в	3	5
46	и от	3	4
47	в каждом	3	4
48	в ней	11	4
49	один из	5	4
50	лишь в	2	4
51	и с	3	4
52	в которой	2	4
53	и все	5	4
54	с его	4	4
55	как и	13	4
56	по преимуществу	5	4
57	и потому	7	4
58	на почве	3	4
59	быть и	2	4
60	и для	7	4
61	ничего не	2	4
62	все время	2	3
63	никогда не	18	3
64	хотя бы	7	3
65	переходит в	8	3
66	к тому	5	3
67	в том	3	3
68	лишь как	3	3
69	в свою	4	3
70	для него	18	3
71	в своем	8	3
72	в разных	2	3
73	и других	2	3
74	того что	6	3
75	друг друга	12	3
76	также и	4	3
77	и здесь	6	3
78	не было	11	3
79	от его	2	3
80	о том	3	3
81	его в	3	3
82	так как	8	3
83	и там	6	3
84	у него	22	3
85	и во	3	3
86	в себе	10	3
87	она не	8	3
88	он не	10	3
89	момент его	2	3
90	бы и	5	3
91	и этим	2	3
92	которые в	2	3
93	связана с	7	2
94	же как	3	2
95	от этой	2	2
96	тому что	4	2
97	что все	5	2
98	на все	3	2
99	так что	2	2
100	они были	3	2
101	что они	3	2
102	на этом	2	2
103	смысле слова	3	2
104	такого рода	2	2
105	и той	2	2
106	для того	5	2
107	хотя и	2	2
108	в этих	2	2
109	как к	2	2
110	уже не	4	2
111	те же	5	2
112	жизнь в	6	2
113	у них	4	2
114	должно быть	2	2
115	так же	6	2
116	и те	2	2
117	сказать что	3	2
118	потому что	12	2
119	же и	2	2
120	но он	11	2
121	между тем	2	2
122	бы его	2	2
123	в духе	5	2
124	интерес к	2	2
125	у нас	11	2
126	том что	4	2
127	мы видим	2	2
128	то в	2	2
129	до сих	3	2
130	с которым	3	2
131	и самое	2	2
132	сих пор	3	2
133	в атмосфере	2	2
134	и эта	2	2
135	не есть	13	2
136	той же	3	2
137	можно было	2	2
138	нас в	2	2
139	от этого	2	2
140	связи с	2	2
