N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	29	40
2	и его	14	17
3	прежде всего	7	16
4	в романе	9	15
5	в этом	22	15
6	мы уже	2	13
7	не только	15	13
8	и не	31	13
9	в его	24	13
10	что в	8	12
11	вовсе не	7	12
12	как и	12	11
13	но и	14	11
14	таким образом	12	10
15	как мы	4	10
16	в них	3	9
17	в сущности	5	9
18	может быть	24	9
19	он не	5	9
20	отношение к	2	8
21	в том	8	8
22	и до	3	8
23	у него	5	8
24	все эти	9	8
25	и с	4	8
26	той же	5	8
27	и на	7	8
28	но в	7	8
29	в своем	8	7
30	в одном	10	7
31	в духе	3	7
32	и др	5	7
33	то же	14	7
34	он и	5	7
35	же время	9	6
36	в самом	10	6
37	в своей	8	6
38	в той	2	6
39	связи с	2	6
40	в то	10	6
41	до конца	8	6
42	в литературе	4	5
43	мы видим	2	5
44	как раз	6	5
45	в нем	19	5
46	то что	15	5
47	начала и	2	5
48	не было	4	5
49	те же	2	5
50	а не	22	5
51	и для	4	5
52	в основе	4	5
53	в своих	3	5
54	так сказать	4	5
55	для него	18	5
56	с начала	2	4
57	и во	2	4
58	том что	7	4
59	до сих	2	4
60	было бы	5	4
61	в ней	2	4
62	и потому	6	4
63	даже в	4	4
64	ни в	3	4
65	один из	2	4
66	в мире	6	4
67	жизни и	2	4
68	сих пор	2	4
69	в их	3	4
70	все это	6	4
71	и о	5	4
72	в данном	2	4
73	и даже	2	4
74	и здесь	3	4
75	в истории	2	4
76	так как	6	4
77	поэтому и	4	3
78	с его	9	3
79	всех этих	2	3
80	если бы	9	3
81	и от	2	3
82	для понимания	2	3
83	и к	2	3
84	но это	4	3
85	в этой	4	3
86	одна из	3	3
87	кроме того	3	3
88	еще не	5	3
89	но именно	3	3
90	весь этот	2	3
91	и есть	2	3
92	никак не	2	3
93	и следовательно	4	3
94	как бы	19	3
95	о нем	9	3
96	со всею	2	3
97	и наконец	4	3
98	что и	4	3
99	во все	2	3
100	так и	7	3
101	как в	6	3
102	во всей	2	3
103	по отношению	8	3
104	не может	12	3
105	а в	7	3
106	на самом	5	3
107	там где	10	3
108	самом деле	6	3
109	слово в	2	3
110	между ними	2	3
111	и как	7	3
112	но все	5	3
113	можно было	2	3
114	сказать что	3	3
115	между тем	5	3
116	тем что	4	3
117	при этом	2	3
118	же и	2	3
119	одно из	2	3
120	они не	4	3
121	в себе	7	3
122	только в	10	3
123	в конце	6	3
124	и самое	3	3
125	в свете	4	3
126	их в	4	3
127	есть и	2	2
128	уже в	3	2
129	поэтому в	2	2
130	хотя бы	2	2
131	с другой	3	2
132	это не	9	2
133	его произведениях	2	2
134	какой бы	2	2
135	что было	4	2
136	в условиях	2	2
137	что он	8	2
138	такой образ	3	2
139	о мире	6	2
140	все же	9	2
141	следовательно и	2	2
142	это и	5	2
143	мы остановимся	2	2
144	сочетается с	5	2
145	в обычном	2	2
146	но не	9	2
147	все что	3	2
148	конечно не	2	2
149	и перед	2	2
150	и сам	2	2
151	в первой	2	2
152	например в	3	2
153	на его	2	2
154	к нему	6	2
155	по преимуществу	2	2
156	одним из	6	2
157	и понимания	3	2
158	ни одной	2	2
159	в котором	2	2
160	отношению к	8	2
161	в целом	6	2
162	данном случае	2	2
163	в форме	7	2
164	его творчество	2	2
165	или же	2	2
166	этом отношении	3	2
167	именно в	5	2
168	представляется нам	2	2
169	здесь мы	2	2
170	и у	3	2
171	рядом с	14	2
172	потому что	8	2
173	нового времени	3	2
174	говорит он	6	2
175	материал и	3	2
176	приводит его	2	2
177	он в	3	2
178	с этим	2	2
179	но он	2	2
180	точки зрения	19	2
181	этот мир	3	2
182	и ее	2	2
183	выражение в	6	2
184	но как	3	2
185	все то	4	2
186	в один	2	2
187	романа в	3	2
188	его к	2	2
189	далеко не	3	2
190	и это	5	2
191	в которой	2	2
192	в плане	5	2
