N	2gram	Bakhtin_Pr_3	Myshleni
1	и в	53	25
2	в развитии	3	24
3	в том	14	23
4	на основе	2	22
5	том что	5	20
6	что в	2	17
7	таким образом	6	17
8	в основе	5	16
9	как и	11	15
10	то что	9	15
11	в его	8	15
12	в этом	8	14
13	вместе с	2	14
14	может быть	12	13
15	так как	7	12
16	по своему	6	11
17	перед нами	5	10
18	как бы	14	10
19	и не	15	10
20	было бы	5	10
21	что и	3	10
22	только в	4	10
23	как в	7	9
24	мы не	4	9
25	тем что	2	8
26	как мы	5	8
27	уже в	2	7
28	все эти	9	7
29	как это	2	7
30	по своей	9	7
31	мы можем	5	7
32	в области	3	7
33	самого начала	4	6
34	не менее	3	6
35	с другой	2	6
36	в собственном	2	6
37	с самого	3	6
38	не в	2	6
39	и у	7	6
40	один из	6	6
41	мы видели	2	6
42	не может	2	6
43	в связи	2	6
44	и на	18	6
45	потому что	5	6
46	мы должны	4	6
47	что он	4	6
48	зависимости от	2	6
49	но не	5	6
50	того же	2	6
51	со всеми	8	6
52	не только	4	6
53	собственном смысле	2	6
54	точки зрения	4	6
55	все это	8	6
56	слова и	3	6
57	так и	6	5
58	именно в	2	5
59	что это	2	5
60	к одному	2	5
61	тем не	2	5
62	но это	3	5
63	при этом	3	5
64	одним из	3	5
65	уже говорили	2	5
66	и по	3	5
67	человека и	7	5
68	в зависимости	2	5
69	мы уже	5	5
70	и к	5	5
71	о том	2	5
72	могут быть	4	5
73	и т.д	2	5
74	никогда не	2	4
75	прежде всего	15	4
76	в смысле	2	4
77	смысле этого	2	4
78	из них	4	4
79	но и	7	4
80	а в	2	4
81	сказать что	10	4
82	в то	5	4
83	с ним	2	4
84	с этим	2	4
85	и все	10	4
86	так называемая	2	4
87	еще не	5	4
88	он не	3	4
89	по сравнению	4	4
90	той же	5	4
91	которые не	2	4
92	и это	3	4
93	в себя	6	3
94	связаны с	3	3
95	обе эти	3	3
96	в самом	2	3
97	и их	2	3
98	значение в	4	3
99	по отношению	2	3
100	их в	2	3
101	между тем	2	3
102	во всем	2	3
103	его в	2	3
104	как он	2	3
105	и которые	2	3
106	видели что	2	3
107	сравнению с	4	3
108	в жизни	8	3
109	к этому	4	3
110	мы видим	2	3
111	наряду с	5	3
112	с ней	3	3
113	связь с	2	3
114	или менее	3	3
115	между ними	2	3
116	место в	2	2
117	то же	6	2
118	в этих	5	2
119	и одновременно	4	2
120	и от	3	2
121	в один	2	2
122	мы и	2	2
123	и той	2	2
124	к другим	2	2
125	в новое	4	2
126	хотя и	4	2
127	в нем	10	2
128	и других	9	2
129	здесь мы	2	2
130	в своих	2	2
131	и мышления	2	2
132	на его	3	2
133	в начале	2	2
134	в чисто	2	2
135	но они	4	2
136	с его	2	2
137	главным образом	3	2
138	вступают в	2	2
139	в них	2	2
140	представления о	2	2
141	и во	4	2
142	все еще	3	2
143	связанные с	3	2
144	конечно в	2	2
145	и заключается	2	2
146	мы остановимся	2	2
147	в таком	2	2
148	одна из	7	2
149	есть и	2	2
150	с их	2	2
151	тот же	2	2
152	и потому	5	2
153	а также	4	2
154	и особенно	3	2
155	в мире	5	2
156	в своей	3	2
157	и для	4	2
158	представлен в	2	2
159	и его	10	2
160	с другими	3	2
161	в себе	5	2
162	в эту	3	2
