N	2gram	Losev_Dial_4	Formalny
1	т е	46	32
2	и не	30	30
3	вовсе не	6	28
4	и в	15	27
5	может быть	17	25
6	не может	11	24
7	так и	5	21
8	и его	7	19
9	таким образом	5	18
10	в этом	11	18
11	а не	18	17
12	точки зрения	14	16
13	и пр	9	15
14	в нем	5	15
15	то же	9	15
16	как и	7	14
17	с точки	9	14
18	не в	8	12
19	если бы	6	12
20	в самом	2	11
21	в жизни	5	11
22	художественное произведение	2	11
23	и т	17	11
24	но и	4	10
25	не могут	2	10
26	лишь в	2	9
27	так как	14	9
28	не только	8	9
29	так же	4	9
30	что в	7	8
31	ни в	8	8
32	при этом	2	8
33	как бы	14	8
34	отнюдь не	4	8
35	и все	11	8
36	то что	16	8
37	как раз	4	8
38	только в	7	8
39	не менее	2	7
40	в том	11	7
41	же время	6	7
42	все это	9	7
43	потому что	10	7
44	в то	6	7
45	с тем	4	7
46	совершенно не	3	7
47	в его	4	7
48	если мы	5	7
49	т д	15	6
50	все эти	3	6
51	бы в	4	6
52	но в	3	6
53	что он	7	6
54	еще не	4	6
55	было бы	9	6
56	все же	2	6
57	в своей	3	6
58	хотя бы	4	6
59	и для	5	6
60	в данном	3	6
61	во всяком	2	6
62	и ее	8	6
63	вместе с	2	6
64	никогда не	2	5
65	что именно	7	5
66	что они	4	5
67	того чтобы	5	5
68	и их	2	5
69	другой стороны	2	5
70	в ней	5	5
71	в результате	6	5
72	в истории	3	5
73	именно так	2	5
74	и потому	3	5
75	что же	2	5
76	тому как	4	5
77	тем что	2	5
78	смысла и	3	4
79	то ни	4	4
80	прежде всего	11	4
81	в смысле	5	4
82	да и	2	4
83	и как	4	4
84	можно говорить	2	4
85	для того	5	4
86	же и	2	4
87	жизни и	4	4
88	со стороны	3	4
89	смысл и	3	4
90	о том	5	4
91	как это	2	4
92	мы можем	3	4
93	тогда когда	5	4
94	по себе	13	4
95	бы ни	2	4
96	не есть	40	4
97	в ее	2	4
98	том что	10	4
99	она не	4	4
100	конечно не	2	4
101	как в	3	4
102	мы не	9	4
103	могут быть	3	4
104	подобно тому	4	4
105	бы и	3	3
106	что это	13	3
107	это не	12	3
108	можно сказать	5	3
109	как таковой	5	3
110	лишь как	4	3
111	должна быть	7	3
112	того что	13	3
113	она есть	10	3
114	не о	4	3
115	в виду	9	3
116	мы мыслим	2	3
117	и тем	6	3
118	как таковая	2	3
119	той же	5	3
120	и что	9	3
121	и на	5	3
122	никак не	2	3
123	сказать что	6	3
124	и с	4	3
125	в основе	10	3
126	а что	2	3
127	и следовательно	3	3
128	в них	2	3
129	ясно что	11	3
130	у нас	3	3
131	равно как	2	3
132	мы уже	3	3
133	во всех	2	3
134	о нем	2	3
135	нет и	2	3
136	оно не	2	3
137	ее в	2	3
138	может и	2	3
139	уже не	9	3
140	жизнь и	2	3
141	ничто не	2	3
142	то мы	3	3
143	в себе	8	3
144	или иное	3	2
145	она должна	2	2
146	мы еще	2	2
147	для этого	2	2
148	в отношении	2	2
149	говорить об	2	2
150	человека и	2	2
151	что сегодня	3	2
152	главным образом	2	2
153	на все	2	2
154	именно для	2	2
155	но это	4	2
156	в этой	4	2
157	на этом	3	2
158	как о	2	2
159	совпадает с	2	2
160	но для	2	2
161	но если	5	2
162	в котором	2	2
163	был бы	2	2
164	учение о	5	2
165	из них	2	2
166	от того	2	2
167	что она	5	2
168	допустим что	2	2
169	в своем	5	2
170	и только	2	2
171	от этих	2	2
172	отношения к	3	2
173	можно только	3	2
174	и даже	6	2
175	одной и	3	2
176	возможно лишь	2	2
177	от одного	2	2
178	чем же	2	2
179	из этих	2	2
180	необходимо чтобы	2	2
181	это учение	2	2
182	возможно только	3	2
183	том как	2	2
184	с его	5	2
185	нисколько не	2	2
186	сознания и	3	2
187	только не	3	2
188	этом смысле	4	2
189	однако в	2	2
190	это понятие	3	2
191	не как	4	2
192	и во	2	2
193	же что	3	2
194	к этому	3	2
195	это утверждение	2	2
196	данный момент	2	2
197	что уже	2	2
198	с ее	10	2
199	говорить о	11	2
200	и притом	3	2
201	то в	5	2
202	самом же	2	2
203	так чтобы	3	2
204	от него	3	2
205	и тогда	2	2
206	ту или	2	2
207	мы должны	4	2
208	одной из	2	2
209	и из	2	2
210	в целях	2	2
211	в сущности	5	2
212	за пределы	3	2
213	вот как	2	2
214	ни с	4	2
215	не значит	2	2
216	что и	6	2
217	тем не	2	2
218	как не	2	2
219	и именно	2	2
220	ровно ничего	7	2
221	бы не	2	2
222	это и	9	2
223	это становление	2	2
224	то или	3	2
225	и необходимости	3	2
226	что этот	2	2
227	это значит	8	2
228	от этого	3	2
229	в каком	5	2
230	и вне	2	2
231	познания и	2	2
232	и это	8	2
233	отличие от	2	2
234	в области	3	2
235	ничего не	17	2
236	и тех	2	2
