N	2gram	Propp_Isto_2	Narrotol
1	не только	18	26
2	а не	5	17
3	представляет собой	5	16
4	но и	14	15
5	в том	6	14
6	при этом	4	14
7	в качестве	3	14
8	и не	11	14
9	том что	7	13
10	и в	15	13
11	в этом	11	13
12	состоит в	2	12
13	только в	6	11
14	может быть	17	10
15	к тому	5	9
16	так и	5	9
17	а в	12	9
18	то что	12	8
19	в себе	4	8
20	не может	5	8
21	не в	7	8
22	к себе	2	7
23	никогда не	15	6
24	в жизни	2	6
25	прежде всего	5	6
26	того что	3	6
27	в его	6	6
28	все же	9	6
29	у него	4	6
30	как бы	6	6
31	а также	2	6
32	ничего не	7	6
33	но в	6	6
34	не столько	2	5
35	что он	24	5
36	одной стороны	3	5
37	он не	8	5
38	в котором	5	5
39	я не	2	5
40	в нем	7	5
41	отношению к	3	5
42	на него	5	5
43	как в	5	5
44	по отношению	3	5
45	таким образом	7	5
46	с одной	4	5
47	тем самым	2	5
48	с другой	2	5
49	о том	3	5
50	перед нами	2	4
51	что это	6	4
52	об этом	11	4
53	тому же	2	4
54	как и	2	4
55	у нее	4	4
56	что в	12	4
57	то же	10	4
58	в силу	2	4
59	в другом	9	4
60	в этой	4	4
61	как это	3	4
62	в себя	3	4
63	он является	2	3
64	мы имеем	15	3
65	это не	2	3
66	да и	2	3
67	что они	10	3
68	одна из	2	3
69	но не	2	3
70	к ней	2	3
71	и когда	2	3
72	о нем	4	3
73	один из	8	3
74	все эти	4	3
75	самом деле	2	3
76	того чтобы	2	3
77	и по	2	3
78	и для	2	3
79	и его	3	3
80	с ними	2	3
81	сказать что	2	3
82	так сказать	2	3
83	зависит от	2	2
84	же как	5	2
85	должен был	3	2
86	одно из	2	2
87	а то	2	2
88	а потом	4	2
89	что у	2	2
90	превращается в	2	2
91	хотя бы	2	2
92	представления о	5	2
93	из этих	3	2
94	точно так	6	2
95	и здесь	9	2
96	на то	3	2
97	не должен	4	2
98	для нас	4	2
99	и т	19	2
100	и более	2	2
101	еще не	9	2
102	было бы	5	2
103	не происходит	3	2
104	что она	5	2
105	в него	2	2
106	не все	2	2
107	что и	6	2
108	в других	3	2
109	а с	2	2
110	именно в	2	2
111	на самом	2	2
112	они не	4	2
113	и что	6	2
114	так же	13	2
115	той же	2	2
116	роль в	3	2
117	мы не	3	2
118	можно было	5	2
119	тому как	3	2
120	но это	4	2
121	в ней	4	2
122	но он	4	2
123	подобно тому	3	2
124	во время	2	2
125	видно что	6	2
126	представляют собой	3	2
127	как он	3	2
128	здесь не	2	2
129	потому что	9	2
130	к которому	5	2
131	видит в	2	2
