N	2gram	Bakhtin_Pr_3	SlovoVZh
1	не может	19	16
2	точки зрения	8	14
3	может быть	19	14
4	и его	16	13
5	как бы	27	13
6	таким образом	5	12
7	и в	34	12
8	отношению к	6	11
9	по отношению	5	11
10	и не	29	10
11	если бы	4	9
12	так как	4	9
13	прежде всего	15	8
14	сказать что	2	7
15	в нем	19	6
16	все время	5	6
17	при этом	4	6
18	в том	3	6
19	только в	6	6
20	слова и	10	6
21	в ней	3	6
22	в жизни	2	5
23	то что	11	5
24	никогда не	8	5
25	а не	9	5
26	то же	14	5
27	хотя бы	5	5
28	как и	18	5
29	том что	3	5
30	отнюдь не	2	5
31	как в	4	5
32	героя и	9	5
33	но в	16	5
34	в виду	3	5
35	и к	12	4
36	ни было	4	4
37	все же	7	4
38	отношение к	6	4
39	жизни и	3	4
40	так и	6	4
41	с другой	4	4
42	на самом	11	4
43	уже не	2	4
44	что не	7	4
45	не в	9	4
46	в этом	16	4
47	и на	6	4
48	его в	4	4
49	в самом	8	4
50	к нему	14	4
51	за пределы	2	4
52	не только	10	4
53	в котором	3	3
54	в них	2	3
55	отношении к	7	3
56	бы то	4	3
57	не менее	3	3
58	когда он	2	3
59	в своей	3	3
60	быть и	2	3
61	все это	16	3
62	как к	4	3
63	то ни	4	3
64	и вообще	2	3
65	все эти	4	3
66	в такой	3	3
67	по себе	3	3
68	слово в	2	3
69	это как	3	3
70	но и	12	3
71	того что	5	3
72	и наконец	5	3
73	точек зрения	2	3
74	тем не	2	3
75	ни в	4	3
76	да и	4	3
77	он должен	2	3
78	так же	8	3
79	самом деле	13	3
80	ведь и	3	3
81	и с	15	3
82	о том	2	3
83	нуждается в	3	3
84	и ее	2	3
85	в себе	6	3
86	для него	13	3
87	в пределах	6	3
88	еще не	4	3
89	только на	4	3
90	и для	8	3
91	конечно не	2	3
92	внутренней речи	4	3
93	в творчестве	3	3
94	с ним	8	3
95	но для	3	3
96	между тем	3	3
97	к герою	7	3
98	уже в	3	2
99	с этой	2	2
100	с его	6	2
101	что и	5	2
102	в душе	2	2
103	но все	5	2
104	что в	7	2
105	вместе с	4	2
106	себя и	8	2
107	и так	5	2
108	а к	2	2
109	на него	7	2
110	от этой	2	2
111	в форме	2	2
112	в своем	2	2
113	в отношении	9	2
114	другой стороны	3	2
115	это не	5	2
116	и все	19	2
117	бы не	2	2
118	тому же	2	2
119	речи в	2	2
120	те же	2	2
121	конечно в	2	2
122	его к	3	2
123	и слово	8	2
124	и что	5	2
125	словом и	3	2
126	но зато	3	2
127	с точки	4	2
128	сливается с	3	2
129	как на	2	2
130	с другими	4	2
131	для других	3	2
132	но это	4	2
133	более того	2	2
134	такой же	3	2
135	и то	3	2
136	но не	4	2
137	со словом	3	2
138	до конца	3	2
139	в то	12	2
140	но этот	2	2
141	к слову	2	2
142	там где	7	2
143	в чем	5	2
144	ничего не	4	2
145	совпадает с	2	2
146	он не	15	2
147	в его	22	2
148	и потому	2	2
