N	2gram	Savitsky_E_1	RusskieA
1	и в	37	36
2	не только	18	22
3	что в	21	19
4	том что	6	19
5	в том	11	17
6	т е	9	17
7	но и	14	16
8	так как	7	15
9	в этом	12	12
10	в других	2	11
11	как мы	5	10
12	как и	7	10
13	вместе с	2	10
14	и на	6	10
15	потому что	3	10
16	а в	2	9
17	с тем	3	8
18	из них	3	8
19	может быть	6	8
20	и по	5	8
21	о том	3	8
22	как это	4	8
23	что и	3	7
24	так и	10	7
25	и других	2	7
26	между тем	8	7
27	и не	14	6
28	для нас	4	6
29	рождества христова	2	6
30	в них	3	6
31	таким образом	2	6
32	мы не	4	6
33	не имеет	4	6
34	в виде	5	6
35	то что	6	6
36	как будто	2	5
37	как бы	6	5
38	в течение	5	5
39	во многих	4	5
40	в которых	3	5
41	как в	3	5
42	к тому	8	4
43	что на	2	4
44	представляет собой	3	4
45	во всех	6	4
46	в некоторых	2	4
47	в их	11	4
48	в россии	5	4
49	с в	2	4
50	не может	9	4
51	и что	2	4
52	того что	7	4
53	тем что	3	4
54	только в	9	4
55	начиная с	2	3
56	для них	2	3
57	что это	2	3
58	в этих	2	3
59	в качестве	14	3
60	в своем	14	3
61	в одном	2	3
62	представление о	2	3
63	думать что	8	3
64	в свою	3	3
65	от них	3	3
66	и к	3	3
67	не можем	2	3
68	несмотря на	4	3
69	к ним	3	3
70	а также	7	3
71	если в	2	3
72	также в	2	3
73	то же	15	3
74	она в	3	3
75	и некоторые	3	3
76	с точки	17	3
77	на этот	2	3
78	так же	9	3
79	точки зрения	23	3
80	то есть	6	3
81	далеко не	2	3
82	в области	11	3
83	западной европы	9	3
84	и более	2	2
85	западной европе	4	2
86	независимо от	4	2
87	в частности	5	2
88	европы в	2	2
89	могут быть	2	2
90	но даже	4	2
91	между собой	2	2
92	не означает	2	2
93	с этим	2	2
94	и потому	5	2
95	главным образом	2	2
96	и как	2	2
97	мы видим	2	2
98	в силу	2	2
99	такой же	2	2
100	свою очередь	2	2
101	но не	5	2
102	в большинстве	2	2
103	в прошлом	3	2
104	она не	2	2
105	отнюдь не	9	2
106	чем в	4	2
107	когда он	3	2
108	имеет место	2	2
109	русских и	2	2
110	в ней	4	2
111	в его	2	2
112	нас к	2	2
113	и с	2	2
114	как не	2	2
115	не на	4	2
116	между прочим	7	2
117	относятся к	2	2
118	в какой	2	2
119	народ и	3	2
120	а не	2	2
121	и для	3	2
122	до г	3	2
123	приводит нас	2	2
124	или в	2	2
125	в своих	2	2
126	этот вопрос	2	2
127	мы можем	3	2
128	хотя и	2	2
129	к ней	4	2
130	на себя	3	2
131	но в	14	2
132	мы должны	2	2
133	свой народ	3	2
134	там где	3	2
135	большинстве случаев	3	2
136	и поэтому	2	2
