N	2gram	Tiupa_Anal_1	KulturaY
1	и т	3	33
2	в том	27	30
3	и в	18	24
4	потому что	2	23
5	том что	12	21
6	т п	3	18
7	что в	5	17
8	того чтобы	3	17
9	для того	4	16
10	было бы	2	15
11	в этом	13	14
12	точки зрения	6	14
13	может быть	29	13
14	все же	4	12
15	таким образом	3	12
16	в его	13	12
17	и не	21	12
18	не в	14	11
19	только в	6	11
20	вовсе не	2	10
21	в силу	3	10
22	в самом	6	10
23	не только	15	10
24	хотя бы	3	10
25	если бы	3	9
26	то что	6	9
27	прежде всего	6	9
28	отношению к	5	9
29	самом деле	2	9
30	того что	4	9
31	с точки	4	9
32	о том	5	9
33	так как	2	9
34	том чтобы	7	8
35	по отношению	6	8
36	то же	9	8
37	уже не	4	8
38	а не	17	8
39	с другой	4	7
40	в качестве	31	7
41	как бы	5	7
42	вместе с	4	7
43	не может	22	7
44	это не	6	7
45	в области	4	7
46	так и	4	7
47	однако не	3	6
48	в какой	2	6
49	тогда когда	2	6
50	именно в	4	6
51	что он	3	6
52	при этом	12	6
53	язык есть	2	6
54	но и	17	6
55	что же	2	6
56	другой стороны	2	6
57	все эти	2	6
58	мы имеем	6	6
59	мере в	3	6
60	не случайно	3	6
61	в которой	2	6
62	той мере	2	5
63	к тому	7	5
64	но не	10	5
65	еще не	3	5
66	что не	3	5
67	этом отношении	2	5
68	не просто	2	5
69	в той	8	5
70	а в	9	5
71	и его	5	5
72	между тем	5	5
73	с ним	4	5
74	и с	2	5
75	в рамках	3	4
76	с его	3	4
77	в частности	19	4
78	и потому	2	4
79	в нем	3	4
80	того же	4	4
81	в пределах	2	4
82	из них	2	4
83	один из	2	4
84	должен быть	6	4
85	что и	3	4
86	не есть	8	4
87	в целом	5	4
88	со стороны	2	4
89	и тогда	2	4
90	следует что	2	4
91	тем самым	7	4
92	роль в	2	4
93	и на	5	4
94	в данном	2	4
95	из этих	2	4
96	и является	2	4
97	того или	3	4
98	состоит в	11	3
99	для этого	2	3
100	на себя	2	3
101	была бы	2	3
102	или иного	3	3
103	его к	2	3
104	или иной	6	3
105	можно сказать	2	3
106	сводится к	5	3
107	в первом	2	3
108	соответствии с	2	3
109	в этой	5	3
110	в противовес	2	3
111	в сущности	6	3
112	этого слова	7	3
113	в котором	3	3
114	даже в	3	3
115	не с	4	3
116	на его	2	3
117	а с	3	3
118	в их	5	3
119	в таком	3	3
120	несмотря на	2	3
121	должно быть	2	3
122	той же	2	3
123	и то	2	3
124	нуждается в	8	3
125	себе в	2	3
126	в себе	11	3
127	науки о	2	3
128	здесь не	2	3
129	не все	2	2
130	том и	2	2
131	и более	4	2
132	и есть	3	2
133	никогда не	2	2
134	не является	2	2
135	одного и	2	2
136	и все	3	2
137	на самом	2	2
138	не всегда	4	2
139	не могут	3	2
140	вопрос о	2	2
141	по себе	4	2
142	в собственном	3	2
143	в то	9	2
144	и того	5	2
145	как и	13	2
146	и как	5	2
147	же время	6	2
148	в своей	6	2
149	свое время	2	2
150	одним из	3	2
151	понимать как	2	2
152	от себя	3	2
153	в свое	2	2
154	о нем	3	2
155	каждом из	2	2
156	если в	3	2
157	тем более	2	2
158	ни в	4	2
159	не говоря	2	2
160	дело не	3	2
161	а именно	3	2
162	смысл и	3	2
163	он не	3	2
164	иначе говоря	9	2
165	лишь в	5	2
166	свидетельствует о	2	2
167	в собственно	2	2
168	не столько	2	2
169	также и	2	2
170	иное как	5	2
171	может иметь	2	2
172	может служить	2	2
173	могли бы	2	2
174	на примере	2	2
175	тогда как	14	2
176	но в	8	2
