N	2gram	Losev_Vesc_1	FransuaR
1	и в	21	65
2	как бы	12	22
3	и не	29	22
4	вовсе не	10	18
5	в сущности	4	16
6	в том	8	16
7	в этом	4	15
8	но в	5	14
9	в нем	2	13
10	мы уже	3	12
11	прежде всего	9	11
12	и его	2	10
13	и потому	5	10
14	не только	36	10
15	но и	18	10
16	так и	3	10
17	все эти	3	10
18	в его	2	9
19	во всех	2	9
20	все это	5	9
21	в своем	6	8
22	в основе	3	8
23	и даже	6	8
24	его в	2	7
25	жизни и	2	7
26	точки зрения	5	7
27	только в	14	7
28	никогда не	2	6
29	том что	8	6
30	все же	4	6
31	как мы	4	6
32	еще не	8	6
33	может быть	16	6
34	в ней	12	6
35	в отношении	4	6
36	и у	3	6
37	сказать что	17	6
38	так как	7	6
39	в одном	2	5
40	еще более	2	5
41	потому что	16	5
42	для него	4	5
43	и пр	6	5
44	в своей	5	5
45	той или	2	5
46	еще и	8	5
47	как и	8	5
48	в той	3	5
49	и все	5	5
50	не в	5	4
51	в этой	3	4
52	можно только	4	4
53	совершенно не	5	4
54	в самом	9	4
55	из них	4	4
56	мысли и	3	4
57	для нас	2	4
58	между ними	3	4
59	и еще	2	4
60	в жизни	3	4
61	но на	2	3
62	что в	9	3
63	перестает быть	3	3
64	она была	2	3
65	это не	5	3
66	и во	3	3
67	не просто	19	3
68	отрыве от	2	3
69	в ее	7	3
70	но это	10	3
71	в самой	2	3
72	самом деле	4	3
73	понимания и	3	3
74	и эта	3	3
75	но для	2	3
76	по своей	2	3
77	с точки	3	3
78	то что	27	3
79	от всех	4	3
80	и их	7	3
81	как раз	9	3
82	не может	17	3
83	в себя	13	3
84	уже не	9	3
85	можно говорить	2	3
86	применении к	2	3
87	с другой	6	3
88	даже и	4	3
89	в себе	14	3
90	и здесь	4	3
91	с ним	8	3
92	ничего не	3	3
93	и с	8	3
94	в виду	2	3
95	но не	5	2
96	к тому	3	2
97	и без	3	2
98	и от	3	2
99	этих двух	2	2
100	ни с	6	2
101	бы ни	2	2
102	можно сказать	6	2
103	да и	3	2
104	а затем	2	2
105	основе своей	2	2
106	мы видим	2	2
107	и само	2	2
108	кроме того	4	2
109	одной стороны	3	2
110	в отрыве	2	2
111	между прочим	3	2
112	знает и	2	2
113	свое время	2	2
114	от того	3	2
115	хотя и	4	2
116	в свое	2	2
117	не вполне	2	2
118	и для	9	2
119	в свой	2	2
120	и выражения	2	2
121	от всего	12	2
122	только на	3	2
123	в свете	7	2
124	истории и	2	2
125	с одной	3	2
126	и вот	2	2
127	того что	8	2
128	что не	5	2
129	что мы	14	2
130	есть только	7	2
131	или в	2	2
132	к себе	4	2
133	их в	3	2
134	быть только	3	2
135	но с	2	2
136	это можно	2	2
137	от всякого	4	2
138	ни на	3	2
139	о том	6	2
140	и это	14	2
141	дело в	4	2
142	в чем	6	2
143	и вещи	3	2
