N	2gram	Propp_Russ_1	VelikijI
1	и не	6	20
2	и в	36	16
3	то что	6	9
4	так как	15	9
5	еще не	4	8
6	что они	7	7
7	и потому	2	7
8	а не	2	7
9	хотя и	2	5
10	как бы	5	5
11	но и	16	5
12	все это	6	5
13	того что	4	5
14	на себя	2	5
15	в образе	2	4
16	в нем	2	4
17	как и	10	4
18	так и	7	4
19	потому что	10	4
20	в этом	12	4
21	в ней	2	4
22	в его	2	4
23	что в	19	3
24	по этому	3	3
25	в этих	3	3
26	в них	6	3
27	в жизни	2	3
28	в том	17	3
29	но это	4	3
30	христа в	2	3
31	к тому	4	3
32	во всех	4	3
33	что и	7	3
34	как не	2	3
35	тому что	4	3
36	не было	2	3
37	и что	4	3
38	не имеет	6	3
39	и для	2	3
40	их в	3	3
41	в первый	4	3
42	все эти	2	3
43	но в	2	3
44	что от	2	2
45	до того	2	2
46	с тем	8	2
47	его и	2	2
48	это не	10	2
49	в прошлом	2	2
50	его к	2	2
51	для нас	6	2
52	том что	19	2
53	одна из	4	2
54	но не	2	2
55	они и	2	2
56	для них	3	2
57	не только	22	2
58	значения и	2	2
59	один из	8	2
60	не с	3	2
61	и т	10	2
62	т д	9	2
63	а с	4	2
64	тем что	4	2
65	мы не	6	2
66	уже не	6	2
67	а в	9	2
68	с ним	2	2
69	между тем	7	2
70	могут быть	2	2
71	только в	4	2
72	которые не	3	2
73	к нам	2	2
