N	2gram	Vinokur_Ku_1	Dialekti
1	не есть	4	54
2	т е	38	48
3	и не	12	27
4	а не	8	26
5	точки зрения	14	25
6	и в	24	24
7	и т	33	24
8	не только	10	23
9	т д	14	23
10	что такое	6	21
11	по себе	2	20
12	не может	7	19
13	не просто	5	18
14	ничего не	2	17
15	и есть	2	16
16	и что	5	15
17	что все	2	14
18	в таком	3	14
19	то что	9	14
20	с точки	9	14
21	может быть	13	13
22	таким образом	12	13
23	и даже	3	13
24	что он	6	13
25	вовсе не	10	13
26	что это	5	12
27	того что	9	12
28	не менее	7	11
29	не имеет	2	11
30	что же	6	11
31	тем не	4	10
32	в сущности	3	10
33	ни в	2	9
34	то это	3	9
35	но и	6	9
36	что она	3	9
37	учение о	4	8
38	прежде всего	9	8
39	так что	4	8
40	и как	2	8
41	это есть	2	8
42	том что	21	8
43	в этом	14	8
44	что в	17	7
45	никогда не	2	7
46	в самом	10	7
47	в особенности	3	7
48	что оно	3	7
49	потому что	23	7
50	даже и	3	7
51	в виду	5	7
52	ясно что	3	7
53	это и	4	7
54	как и	2	7
55	как раз	8	7
56	иное как	2	6
57	я не	2	6
58	должна быть	3	6
59	но если	2	6
60	все это	6	6
61	д и	2	6
62	и с	5	6
63	о том	9	6
64	так как	9	6
65	если бы	9	6
66	превращается в	2	6
67	и все	2	6
68	оно не	3	6
69	что и	4	6
70	не на	4	6
71	то же	8	6
72	самом деле	9	6
73	и пр	15	6
74	можно ли	2	5
75	с этой	2	5
76	в том	30	5
77	что его	2	5
78	хотя и	3	5
79	и его	5	5
80	как на	3	5
81	одно из	2	5
82	в то	2	5
83	как это	3	5
84	в них	7	5
85	по крайней	5	5
86	вопрос о	2	5
87	тогда когда	6	5
88	было бы	15	5
89	он не	2	5
90	крайней мере	5	5
91	так и	7	5
92	и тогда	4	5
93	уже не	8	5
94	что не	5	5
95	только в	11	5
96	тому что	3	4
97	с другой	7	4
98	это не	7	4
99	не могут	2	4
100	или иной	3	4
101	к тому	5	4
102	как о	2	4
103	от себя	2	4
104	хотя бы	10	4
105	так же	4	4
106	у нас	10	4
107	в истории	3	4
108	конечно не	2	4
109	о нем	2	4
110	е не	2	4
111	и то	3	4
112	чтобы быть	2	4
113	е в	2	4
114	не было	3	3
115	все же	12	3
116	в своем	3	3
117	была бы	3	3
118	не в	11	3
119	есть в	4	3
120	же время	2	3
121	тем более	2	3
122	в нем	4	3
123	это было	2	3
124	из них	4	3
125	то и	2	3
126	все эти	6	3
127	того или	4	3
128	должно быть	3	3
129	и на	4	3
130	мере в	6	3
131	с этим	4	3
132	тем что	8	3
133	уже и	3	3
134	он есть	3	3
135	на себя	3	3
136	только тогда	3	3
137	в силу	10	3
138	на то	4	3
139	зависимости от	6	3
140	понимать как	2	3
141	как бы	7	3
142	если не	3	3
143	тем самым	4	3
144	для того	16	3
145	должны быть	2	3
146	той же	3	3
147	в слове	2	3
148	в каком	2	3
149	а если	3	3
150	что их	2	2
151	что если	2	2
152	в частности	4	2
153	из этих	4	2
154	этой точки	2	2
155	в смысле	2	2
156	как таковой	2	2
157	для нас	2	2
158	лишь как	2	2
159	еще не	5	2
160	при этом	6	2
161	несмотря на	3	2
162	и если	3	2
163	например в	5	2
164	и является	4	2
165	всяком случае	5	2
166	так или	2	2
167	и тем	2	2
168	не говоря	2	2
169	себя самого	2	2
170	не имеют	3	2
171	меня и	3	2
172	а именно	2	2
173	другой стороны	6	2
174	целый ряд	5	2
175	для этого	3	2
176	как например	2	2
177	мы говорим	2	2
178	еще и	5	2
179	именно в	6	2
180	только и	3	2
181	они не	3	2
182	а в	5	2
183	что нужно	2	2
184	же и	2	2
185	также и	2	2
186	никак не	2	2
187	в ней	6	2
188	как именно	2	2
189	и здесь	3	2
190	но вот	2	2
191	в первом	3	2
192	и потому	4	2
193	когда мы	2	2
194	бы в	7	2
195	но в	2	2
196	этого не	2	2
197	с его	4	2
198	в зависимости	5	2
199	факты и	2	2
200	в их	3	2
201	или иного	3	2
202	что можно	2	2
203	и эти	3	2
204	же в	4	2
205	по существу	4	2
206	только потому	6	2
207	но не	5	2
208	но еще	3	2
209	только к	2	2
210	однако не	6	2
211	со стороны	4	2
212	ее в	2	2
213	как я	2	2
214	что история	2	2
215	все равно	2	2
216	и сами	2	2
217	и он	3	2
218	и для	2	2
219	или в	2	2
220	или иначе	2	2
221	в данном	4	2
222	во всяком	5	2
223	как с	2	2
224	в себе	3	2
225	что законы	2	2
226	иной раз	2	2
227	в его	12	2
