N	2gram	Vygotskiy__6	Dialekti
1	и не	11	27
2	а не	3	26
3	точки зрения	13	25
4	и в	28	24
5	не только	16	23
6	что такое	3	21
7	по себе	3	20
8	не может	19	19
9	и что	6	15
10	что все	5	14
11	то что	28	14
12	с точки	10	14
13	может быть	13	13
14	таким образом	18	13
15	что он	18	13
16	того что	24	12
17	не менее	2	11
18	не имеет	6	11
19	только не	3	10
20	в сущности	7	10
21	но и	10	9
22	прежде всего	2	8
23	так что	6	8
24	и как	6	8
25	это есть	3	8
26	отличается от	3	8
27	что мы	11	8
28	том что	19	8
29	в этом	27	8
30	что в	17	7
31	никогда не	8	7
32	но что	4	7
33	в самом	8	7
34	что оно	7	7
35	потому что	22	7
36	ясно что	4	7
37	это и	3	7
38	как и	6	7
39	только на	2	7
40	как раз	6	7
41	я не	4	6
42	но если	4	6
43	все это	2	6
44	и только	3	6
45	так как	10	6
46	возможно только	3	6
47	если бы	7	6
48	и все	5	6
49	оно не	4	6
50	что и	4	6
51	не на	2	6
52	то же	7	6
53	самом деле	2	6
54	с этой	2	5
55	в том	28	5
56	но это	2	5
57	хотя и	3	5
58	и его	3	5
59	как на	3	5
60	в то	6	5
61	как это	3	5
62	в них	3	5
63	вопрос о	5	5
64	тогда когда	6	5
65	и к	6	5
66	было бы	9	5
67	он не	7	5
68	так и	6	5
69	мы не	6	5
70	только в	18	5
71	тому что	11	4
72	с другой	2	4
73	это не	5	4
74	не могут	5	4
75	то время	6	4
76	к тому	10	4
77	в возможности	2	4
78	можно только	2	4
79	но только	2	4
80	так же	15	4
81	время как	5	4
82	сказать что	13	4
83	у нас	2	4
84	от того	10	4
85	только что	2	4
86	чего не	3	4
87	в чем	6	4
88	и то	4	4
89	мы и	4	4
90	для него	6	4
91	все же	2	3
92	все время	3	3
93	в своем	7	3
94	в одной	4	3
95	и от	2	3
96	была бы	2	3
97	что именно	2	3
98	мы знаем	4	3
99	не в	4	3
100	есть в	3	3
101	она не	2	3
102	в основе	3	3
103	в нем	7	3
104	из них	2	3
105	все эти	2	3
106	друг друга	4	3
107	в сферу	3	3
108	и на	5	3
109	с этим	4	3
110	мы уже	2	3
111	тем что	8	3
112	он должен	4	3
113	только тогда	4	3
114	в силу	17	3
115	на то	4	3
116	зависимости от	5	3
117	как таковое	2	3
118	как бы	11	3
119	тем самым	8	3
120	для того	8	3
121	раз и	2	3
122	той же	4	3
123	не знает	3	3
124	что их	3	2
125	зависит от	3	2
126	но на	2	2
127	же как	6	2
128	что если	2	2
129	в частности	4	2
130	что у	2	2
131	вообще не	6	2
132	из этих	3	2
133	гласит что	2	2
134	показывает что	7	2
135	из того	5	2
136	для нас	2	2
137	на этом	4	2
138	еще не	8	2
139	а из	2	2
140	при этом	3	2
141	несмотря на	2	2
142	например в	4	2
143	нас к	4	2
144	и следовательно	4	2
145	и является	2	2
146	но совершенно	2	2
147	и тем	5	2
148	исходит из	2	2
149	другой стороны	2	2
150	целый ряд	4	2
151	для этого	2	2
152	мы говорим	2	2
153	именно в	4	2
154	понятия и	10	2
155	они не	4	2
156	и по	3	2
157	а в	2	2
158	в своих	3	2
159	в мысли	4	2
160	и здесь	3	2
161	в первом	4	2
162	когда мы	6	2
163	бы в	3	2
164	но в	5	2
165	своего собственного	2	2
166	с его	3	2
167	у него	2	2
168	в зависимости	5	2
169	на котором	2	2
170	содержится в	5	2
171	в их	3	2
172	в понятии	4	2
173	но как	3	2
174	по существу	2	2
175	то в	5	2
176	но не	10	2
177	если я	4	2
178	во внимание	2	2
179	может существовать	2	2
180	только к	3	2
181	ее в	2	2
182	как мы	10	2
183	нас в	2	2
184	в данном	2	2
185	могут быть	5	2
186	как с	2	2
187	в себе	4	2
188	и вообще	2	2
189	из этого	2	2
190	в его	3	2
191	этом вопросе	2	2
