N	3gram	Bakhtin_Pr_1	Psycholo
1	в том что	3	17
2	для того чтобы	2	13
3	в самом деле	3	11
4	с точки зрения	6	10
5	не может быть	11	8
6	и т п	13	8
7	то же самое	2	6
8	в художественном произведении	4	5
9	в этом отношении	2	5
10	на самом деле	3	5
11	в данном случае	4	4
12	можно было бы	3	4
13	тем не менее	3	4
14	приходится иметь дело	2	3
15	никогда не может	2	3
16	в конечном счете	4	3
17	том же самом	2	2
18	и не может	2	2
19	то же время	3	2
20	бы то ни	3	2
21	в то же	3	2
22	имеет дело с	4	2
23	того или иного	2	2
24	с другой стороны	4	2
