N	2gram	Tiupa_Lite_2	TeoriaLi
1	в мире	9	24
2	не только	8	18
3	в качестве	5	17
4	тогда как	9	16
5	и не	11	16
6	я в	7	16
7	а в	3	14
8	в частности	4	13
9	и в	19	13
10	состоит в	9	13
11	может быть	17	12
12	так и	7	12
13	то есть	5	12
14	представляет собой	2	11
15	при этом	6	11
16	в этом	9	11
17	в том	10	11
18	но не	5	10
19	а не	20	10
20	и его	3	10
21	в его	4	9
22	то же	12	9
23	что в	4	8
24	своего рода	13	8
25	такого рода	9	8
26	отношению к	3	8
27	но и	10	8
28	по отношению	4	8
29	себя в	6	7
30	в себе	6	7
31	том что	7	7
32	в данном	3	7
33	точки зрения	4	7
34	в то	9	7
35	как это	2	7
36	же время	9	6
37	еще не	2	6
38	картина мира	2	6
39	присутствия в	2	6
40	как бы	2	6
41	в русской	4	6
42	но в	2	6
43	в рамках	4	5
44	и одновременно	2	5
45	однако в	6	5
46	а также	2	5
47	в ее	2	5
48	как и	10	5
49	не в	4	5
50	в нем	3	5
51	данном случае	3	5
52	он не	5	5
53	уже не	2	5
54	тем самым	3	5
55	коммуникативного события	2	5
56	в принципе	5	5
57	жизни как	2	5
58	с другой	8	5
59	не случайно	4	5
60	в искусстве	4	5
61	не менее	6	4
62	конечном счете	5	4
63	не столько	3	4
64	личности в	3	4
65	в стихотворении	13	4
66	эстетических отношений	2	4
67	в конечном	5	4
68	то что	7	4
69	по преимуществу	2	4
70	в их	3	4
71	и т.п	10	4
72	не может	9	4
73	художественного мира	2	4
74	не знает	2	4
75	как правило	3	4
76	лирического героя	4	4
77	всего лишь	3	4
78	лирический герой	10	3
79	художественного творчества	2	3
80	и др	3	3
81	никогда не	3	3
82	в нашем	2	3
83	со своей	2	3
84	в противоположность	2	3
85	прежде всего	4	3
86	и к	2	3
87	тем не	2	3
88	для него	4	3
89	без остатка	3	3
90	того что	5	3
91	и сам	2	3
92	лирического я	3	3
93	с ее	2	3
94	художественного письма	2	3
95	системе ценностей	2	3
96	другой стороны	4	3
97	как раз	2	3
98	так в	5	3
99	мира в	2	3
100	в другом	3	3
101	и что	2	3
102	причастности к	4	3
103	я на	3	3
104	и то	3	3
105	потому что	2	3
106	являет собой	2	3
107	в основе	2	3
108	в этой	3	3
109	и т.д	7	3
110	в художественном	2	3
111	я не	5	2
112	русской поэзии	3	2
113	лирическое я	4	2
114	могут быть	2	2
115	восходит к	2	2
116	себя и	2	2
117	в конце	2	2
118	жизни в	4	2
119	способ существования	2	2
120	того же	4	2
121	о себе	3	2
122	на фоне	5	2
123	вовсе не	2	2
124	что он	3	2
125	равной степени	2	2
126	но как	2	2
127	и как	3	2
128	в дискурсе	2	2
129	эстетического субъекта	3	2
130	соответствии с	2	2
131	субъекта жизни	2	2
132	одной стороны	6	2
133	эстетической деятельности	3	2
134	одно и	2	2
135	к собственной	2	2
136	одной из	2	2
137	из которых	2	2
138	в роли	2	2
139	в виду	2	2
140	к жизни	2	2
141	даже в	4	2
142	не с	3	2
143	в целом	2	2
144	в культуре	3	2
145	во всех	3	2
146	вместе с	5	2
147	русской литературе	2	2
148	коммуникативное событие	3	2
149	со стороны	3	2
150	а именно	3	2
151	как к	3	2
152	коммуникативной стратегии	2	2
153	и для	3	2
154	с одной	7	2
155	в себя	3	2
156	в году	5	2
157	с точки	3	2
158	и даже	8	2
159	и иных	2	2
160	право на	3	2
161	в художественной	3	2
162	у него	2	2
163	следует признать	3	2
164	на себя	2	2
165	с читателем	2	2
166	в равной	3	2
167	о том	2	2
168	произведения искусства	2	2
169	перед ним	2	2
170	в области	4	2
171	случае это	2	2
172	я и	4	2
