N	2gram	Nazirov_Tr_1	SlovoVZh
1	не может	5	16
2	может быть	7	14
3	и его	6	13
4	как бы	7	13
5	и в	18	12
6	и не	7	10
7	прежде всего	4	8
8	в нем	4	6
9	при этом	3	6
10	в том	2	6
11	то что	4	5
12	никогда не	2	5
13	то же	5	5
14	как и	5	5
15	том что	4	5
16	отнюдь не	3	5
17	как в	3	5
18	но в	6	5
19	все же	5	4
20	отношение к	2	4
21	так и	5	4
22	уже не	2	4
23	не в	2	4
24	в этом	9	4
25	и на	7	4
26	его в	2	4
27	в самом	2	4
28	к нему	3	4
29	не только	8	4
30	все это	4	3
31	все эти	3	3
32	но и	4	3
33	ни в	2	3
34	так же	4	3
35	и с	7	3
36	о том	2	3
37	и ее	2	3
38	в себе	4	3
39	для него	3	3
40	еще не	4	3
41	с ним	3	3
42	имеет в	2	3
43	уже в	3	2
44	с его	2	2
45	что и	2	2
46	в душе	2	2
47	но все	2	2
48	что в	4	2
49	данном случае	2	2
50	в своем	3	2
51	это не	5	2
52	и все	4	2
53	жизнью и	2	2
54	вместе со	2	2
55	и что	4	2
56	не так	2	2
57	и здесь	2	2
58	как же	2	2
59	но это	4	2
60	в данном	2	2
61	и то	2	2
62	еще раз	2	2
63	до конца	2	2
64	в то	5	2
65	как это	3	2
66	ничего не	2	2
67	он не	2	2
68	в основном	3	2
69	в его	3	2
