N	2gram	Bakhtin_Pr_1	Stilisti
1	и в	23	42
2	как бы	28	27
3	не только	13	27
4	и т.п	3	24
5	прежде всего	7	22
6	хотя бы	2	17
7	но и	11	15
8	то же	10	15
9	и не	34	14
10	может быть	21	12
11	не может	11	12
12	точки зрения	21	11
13	как и	8	11
14	мы уже	2	11
15	и как	8	10
16	мы должны	2	10
17	как мы	5	10
18	в этом	25	10
19	при этом	3	9
20	в то	10	9
21	то что	18	9
22	для того	2	9
23	мы не	2	9
24	все же	5	8
25	таким образом	11	8
26	в себе	5	8
27	и это	5	8
28	никогда не	5	7
29	зависимости от	3	7
30	же время	7	7
31	и тем	2	7
32	и на	10	7
33	потому что	12	7
34	так как	7	7
35	с его	6	7
36	в зависимости	3	7
37	было бы	6	7
38	а не	20	7
39	того чтобы	4	7
40	и его	13	7
41	только в	8	7
42	в которой	4	7
43	ничего не	6	7
44	точку зрения	4	6
45	не в	6	6
46	в этой	4	6
47	на его	2	6
48	в форме	6	6
49	в конце	5	6
50	в нем	20	6
51	во всех	5	6
52	в процессе	4	6
53	так и	10	6
54	или как	5	6
55	в области	3	6
56	уже в	5	5
57	тому что	2	5
58	и их	2	5
59	а в	7	5
60	и с	4	5
61	и наконец	5	5
62	в сознании	2	5
63	точек зрения	3	5
64	в его	24	5
65	вместе с	2	5
66	в той	6	5
67	с точки	15	5
68	той же	6	5
69	самого начала	3	4
70	в каждом	8	4
71	что именно	2	4
72	можно сказать	2	4
73	с самого	2	4
74	но все	4	4
75	художественного творчества	2	4
76	в самом	8	4
77	точка зрения	7	4
78	один из	2	4
79	все это	7	4
80	того что	2	4
81	так же	6	4
82	о том	2	4
83	его в	4	4
84	бы в	3	4
85	но в	4	4
86	если бы	10	4
87	были бы	4	4
88	и к	4	4
89	мы видим	3	4
90	себя в	3	4
91	на него	2	4
92	уже не	8	4
93	самом деле	5	4
94	можно было	3	4
95	то есть	24	4
96	так сказать	3	4
97	перед нами	4	3
98	это не	10	3
99	слова но	2	3
100	для нас	3	3
101	здесь мы	2	3
102	и само	2	3
103	но для	2	3
104	в котором	2	3
105	и уже	3	3
106	в целом	4	3
107	из них	2	3
108	жизни и	6	3
109	от того	2	3
110	не становится	5	3
111	и вот	2	3
112	лишь в	3	3
113	и даже	3	3
114	их в	2	3
115	сказать что	5	3
116	и здесь	3	3
117	ни на	2	3
118	что было	3	3
119	то он	3	3
120	и все	3	3
121	в одном	9	3
122	этого слова	2	3
123	том что	9	3
124	социальной жизни	2	3
125	еще не	5	3
126	как предмет	3	3
127	что и	5	3
128	сознания не	3	3
129	отношения к	2	3
130	да и	2	3
131	на самом	4	3
132	между ними	2	3
133	и для	3	3
134	роль в	2	3
135	конце концов	4	3
136	выражение в	4	3
137	бы и	4	2
138	друг другу	2	2
139	или даже	2	2
140	человека в	5	2
141	вопрос о	4	2
142	в мире	7	2
143	в том	11	2
144	но это	5	2
145	из всего	2	2
146	для него	15	2
147	до конца	5	2
148	в пределах	9	2
149	и сам	2	2
150	несмотря на	6	2
151	себе и	3	2
152	в этих	2	2
153	в первой	2	2
154	как например	2	2
155	в отношении	2	2
156	не было	3	2
157	этом отношении	5	2
158	все эти	8	2
159	но эта	4	2
160	в которых	2	2
161	в своих	2	2
162	все то	4	2
163	в жизни	6	2
164	в основе	5	2
165	однако в	2	2
166	к этому	2	2
167	что он	10	2
168	есть не	2	2
169	ли он	2	2
170	должна была	4	2
171	но не	8	2
172	ни один	2	2
173	тот же	2	2
174	и потому	3	2
175	зрения на	8	2
176	как не	4	2
177	в своей	11	2
178	в кругозор	6	2
179	сих пор	2	2
180	как в	6	2
181	у себя	3	2
182	из которых	2	2
183	другого человека	4	2
184	к нему	3	2
185	с ним	6	2
186	этот вопрос	2	2
187	тем что	3	2
188	заметить что	2	2
