N	2gram	Potebnia_M_2	RusskieA
1	и в	24	29
2	что в	16	22
3	том что	8	22
4	в том	18	22
5	как бы	9	18
6	состоит в	2	15
7	в других	4	15
8	может быть	23	13
9	так как	10	13
10	во время	4	12
11	как и	7	11
12	одна из	4	11
13	в этом	8	11
14	все это	2	10
15	не только	15	10
16	о том	5	9
17	в некоторых	4	9
18	а в	8	9
19	во многих	3	9
20	но и	9	8
21	а а	2	8
22	с в	2	8
23	его в	3	8
24	как в	10	7
25	или в	2	7
26	с тем	4	6
27	мы не	11	6
28	же в	5	6
29	еще не	4	6
30	для того	5	6
31	для нас	31	6
32	вместе с	11	6
33	таким образом	11	6
34	при этом	13	6
35	того чтобы	2	6
36	и на	8	6
37	потому что	49	5
38	это не	3	5
39	к этому	2	5
40	то что	20	5
41	и что	4	5
42	но не	12	5
43	и т	6	5
44	не может	12	5
45	или же	7	5
46	т д	3	5
47	но в	4	5
48	в них	5	4
49	и все	3	4
50	не все	2	4
51	тогда когда	10	4
52	вопрос о	2	4
53	уже не	4	4
54	так что	10	4
55	не в	13	4
56	из них	5	4
57	так же	2	4
58	то и	9	4
59	что сила	3	4
60	то же	12	4
61	у нас	2	4
62	а не	18	4
63	в таком	4	4
64	их в	2	4
65	далеко не	3	4
66	как это	2	4
67	на этом	2	3
68	тем что	7	3
69	в этих	3	3
70	и других	2	3
71	и от	3	3
72	главным образом	4	3
73	как например	3	3
74	того что	7	3
75	было бы	13	3
76	что она	3	3
77	но если	2	3
78	в котором	4	3
79	с другими	5	3
80	не имеет	6	3
81	во всех	7	3
82	в природе	5	3
83	только тогда	3	3
84	что для	3	3
85	все эти	2	3
86	и по	2	3
87	друг друга	2	3
88	тому как	4	3
89	между тем	6	3
90	но он	2	3
91	подобно тому	4	3
92	что это	3	3
93	в эту	3	3
94	не менее	5	2
95	связь между	2	2
96	связи с	6	2
97	могут быть	8	2
98	никогда не	4	2
99	связанные с	2	2
100	с другой	6	2
101	не столько	2	2
102	из этих	4	2
103	на природу	2	2
104	прежде всего	7	2
105	что и	11	2
106	к ней	2	2
107	что с	2	2
108	и как	6	2
109	и при	3	2
110	совсем не	2	2
111	очевидно что	3	2
112	на другой	2	2
113	то время	4	2
114	связано с	2	2
115	после того	2	2
116	одной стороны	3	2
117	только как	6	2
118	что на	3	2
119	тем не	6	2
120	не совсем	3	2
121	как оно	2	2
122	один из	2	2
123	но она	3	2
124	на две	2	2
125	не с	3	2
126	все же	5	2
127	вряд ли	3	2
128	влияние на	4	2
129	а и	5	2
130	тогда как	10	2
131	того как	7	2
132	а с	2	2
133	не было	6	2
134	с одной	4	2
135	на самом	2	2
136	образом в	4	2
137	там где	4	2
138	и для	3	2
139	должно быть	2	2
140	а к	2	2
141	так в	4	2
142	быть только	2	2
143	и то	3	2
144	также что	2	2
145	одно из	3	2
146	с этим	7	2
147	полагает что	3	2
148	во всем	2	2
149	в то	6	2
150	к таким	2	2
151	но вместе	2	2
152	когда мы	2	2
153	заметить что	6	2
154	в которой	5	2
155	есть в	2	2
156	не можем	6	2
