N	2gram	Bakhtin_Pr_1	Myshleni
1	в этом	25	29
2	точки зрения	21	28
3	и в	23	26
4	не только	13	24
5	для себя	2	24
6	то что	18	24
7	таким образом	11	23
8	с точки	15	21
9	того чтобы	4	19
10	в том	11	18
11	и не	34	18
12	для того	2	18
13	том что	9	17
14	потому что	12	16
15	для других	2	15
16	как и	8	15
17	того что	2	14
18	так же	6	14
19	так как	7	14
20	как мы	5	14
21	что в	8	12
22	вместе с	2	12
23	и его	13	12
24	в которой	4	11
25	но и	11	11
26	мысли и	2	11
27	не может	11	11
28	тому что	2	9
29	в самом	8	9
30	мысли в	2	9
31	в сущности	5	9
32	тем что	3	9
33	в себе	5	9
34	то же	10	8
35	что она	2	8
36	сказать что	5	8
37	что он	10	8
38	той же	6	8
39	только в	8	8
40	самого начала	3	7
41	прежде всего	7	7
42	с самого	2	7
43	может быть	21	7
44	и к	4	7
45	мы не	2	7
46	вопрос о	4	6
47	в смысле	2	6
48	и тем	2	6
49	по отношению	11	6
50	именно в	6	6
51	заключается в	2	6
52	как на	2	6
53	мы должны	2	6
54	как бы	28	6
55	все что	3	6
56	было бы	6	6
57	во всех	5	6
58	все эти	8	6
59	все же	5	6
60	самом деле	5	6
61	а не	20	6
62	выражение в	4	6
63	в сознании	2	6
64	на вопрос	2	5
65	можно сказать	2	5
66	до конца	5	5
67	если бы	10	5
68	в целом	4	5
69	и их	2	5
70	данном случае	2	5
71	никак не	2	5
72	и с	4	5
73	могли бы	3	5
74	бы в	3	5
75	она не	5	5
76	отношению к	11	5
77	в процессе	4	5
78	и для	3	5
79	в данном	2	5
80	не могут	6	4
81	никогда не	5	4
82	с другой	2	4
83	в конце	5	4
84	отношения между	2	4
85	в котором	2	4
86	в свете	3	4
87	то и	2	4
88	и наконец	5	4
89	друг друга	3	4
90	и во	2	4
91	в его	24	4
92	о том	2	4
93	но в	4	4
94	по этому	2	4
95	чем в	2	4
96	еще не	5	4
97	как в	6	4
98	приводит к	3	4
99	это и	9	4
100	в той	6	4
101	не в	6	4
102	в области	3	4
103	я не	3	3
104	представляется нам	2	3
105	друг другу	2	3
106	все это	7	3
107	это не	10	3
108	из этих	2	3
109	есть то	3	3
110	слова но	2	3
111	но это	5	3
112	есть в	3	3
113	для него	15	3
114	совпадает с	2	3
115	в основе	5	3
116	между ними	2	3
117	в первой	2	3
118	на котором	2	3
119	этом отношении	5	3
120	в самой	7	3
121	и по	2	3
122	он не	4	3
123	мы уже	2	3
124	в первом	2	3
125	с ним	6	3
126	были бы	4	3
127	к другому	2	3
128	по себе	7	3
129	есть не	2	3
130	мы остановимся	3	3
131	в то	10	3
132	но не	8	3
133	в одной	4	3
134	до сих	2	3
135	и о	3	3
136	в основном	2	3
137	и потому	3	3
138	этого слова	2	3
139	в этот	2	3
140	что и	5	3
141	в своей	11	3
142	сих пор	2	3
143	так и	10	3
144	как раз	4	3
145	на самом	4	3
146	менее всего	4	3
147	к нему	3	3
148	отличается от	2	3
149	мы видим	3	3
150	с другими	7	3
151	в этой	4	3
152	перед нами	4	2
153	уже в	5	2
154	себя и	2	2
155	в этих	2	2
156	друг с	3	2
157	точку зрения	4	2
158	точно так	2	2
159	что все	3	2
160	то время	2	2
161	его к	4	2
162	входит в	2	2
163	для нас	3	2
164	ни в	3	2
165	образом все	2	2
166	является не	3	2
167	в большинстве	2	2
168	на его	2	2
169	несмотря на	6	2
170	одним из	8	2
171	но для	2	2
172	один из	2	2
173	в нем	20	2
174	с ее	2	2
175	этой работы	2	2
176	в их	3	2
177	отношения к	2	2
178	и других	5	2
179	нашему мнению	3	2
180	лишь в	3	2
181	а в	7	2
182	что для	2	2
183	в своих	2	2
184	в которых	2	2
185	но он	2	2
186	и есть	5	2
187	его в	4	2
188	большинстве случаев	2	2
189	к этому	2	2
190	вовсе не	8	2
191	что было	3	2
192	но эта	4	2
193	и здесь	3	2
194	идет о	3	2
195	ведь это	2	2
196	лучшем случае	2	2
197	но именно	4	2
198	наконец в	2	2
199	даже в	2	2
200	благодаря этому	2	2
201	по своим	2	2
202	во всей	2	2
203	в отношении	2	2
204	в отличие	2	2
205	можно говорить	2	2
206	из которых	2	2
207	в лучшем	2	2
208	можно было	3	2
209	во всяком	4	2
210	с другом	3	2
211	если же	2	2
212	не раз	2	2
213	отличие от	2	2
214	ничего не	6	2
