N	2gram	Tiupa_Teor_1	VelikijI
1	и не	13	20
2	и в	18	16
3	то что	3	9
4	еще не	4	8
5	и потому	2	7
6	а не	9	7
7	в мире	19	5
8	хотя и	3	5
9	как бы	5	5
10	но и	9	5
11	все это	2	5
12	того что	4	5
13	по пути	3	5
14	на себя	2	5
15	во мне	2	4
16	в нем	4	4
17	как и	4	4
18	так и	10	4
19	потому что	3	4
20	в этом	8	4
21	говорить о	3	4
22	в его	6	4
23	с его	5	3
24	что в	9	3
25	в этих	3	3
26	в них	2	3
27	превращается в	2	3
28	в конце	2	3
29	в жизни	2	3
30	ни в	2	3
31	в том	16	3
32	не в	7	3
33	к тому	2	3
34	никогда не	4	3
35	что и	2	3
36	в своей	6	3
37	тому что	2	3
38	лишь в	6	3
39	и что	3	3
40	к чему	2	3
41	и для	2	3
42	их в	3	3
43	личности и	4	3
44	все эти	2	3
45	но в	9	3
46	тот кто	2	2
47	не могут	2	2
48	это не	2	2
49	прежде всего	2	2
50	от свободы	2	2
51	том что	9	2
52	но не	9	2
53	для него	2	2
54	вслед за	2	2
55	не только	16	2
56	значения и	2	2
57	один из	2	2
58	не с	3	2
59	не будет	2	2
60	ее в	2	2
61	в форме	2	2
62	а с	3	2
63	в себя	3	2
64	уже не	4	2
65	а в	13	2
66	и то	2	2
67	между тем	5	2
68	могут быть	4	2
69	только в	6	2
70	и это	2	2
71	к нам	2	2
