N	2gram	Ircho_Kome_1	KulturaY
1	т е	13	38
2	и т	9	33
3	в том	11	30
4	и в	22	24
5	потому что	5	23
6	том что	12	21
7	т п	5	18
8	что в	6	17
9	было бы	2	15
10	т д	4	14
11	в этом	3	14
12	точки зрения	4	14
13	может быть	9	13
14	все же	3	12
15	таким образом	8	12
16	в его	5	12
17	и не	8	12
18	не в	6	11
19	только в	3	11
20	вовсе не	2	10
21	в силу	2	10
22	в самом	2	10
23	у нас	3	10
24	не только	10	10
25	то что	2	9
26	прежде всего	5	9
27	отношению к	3	9
28	о том	8	9
29	так как	4	9
30	по отношению	3	8
31	то же	6	8
32	как раз	3	8
33	тем что	4	8
34	не менее	3	7
35	в них	3	7
36	с другой	5	7
37	в качестве	4	7
38	вместе с	2	7
39	не может	2	7
40	в области	2	7
41	так и	5	7
42	именно в	4	6
43	что он	6	6
44	при этом	5	6
45	но и	11	6
46	все это	5	6
47	другой стороны	5	6
48	в которой	6	6
49	еще и	2	5
50	к тому	6	5
51	но не	2	5
52	еще не	2	5
53	всяком случае	2	5
54	этом отношении	3	5
55	а в	6	5
56	и его	8	5
57	в результате	4	5
58	во всяком	2	5
59	между тем	5	5
60	и с	3	5
61	в рамках	2	4
62	в частности	3	4
63	на то	3	4
64	в нем	4	4
65	в тех	3	4
66	же в	4	4
67	что они	4	4
68	того же	2	4
69	из них	10	4
70	в первую	2	4
71	один из	5	4
72	что и	4	4
73	тем не	2	4
74	в целом	3	4
75	сих пор	2	4
76	со стороны	2	4
77	до сих	2	4
78	как в	5	4
79	того как	3	4
80	так же	3	4
81	и на	3	4
82	уже в	5	3
83	казалось бы	3	3
84	для этого	2	3
85	ясно что	4	3
86	на себя	2	3
87	в г	11	3
88	ли не	4	3
89	в этой	7	3
90	в свою	2	3
91	в сущности	2	3
92	в котором	4	3
93	в истории	5	3
94	даже в	3	3
95	на его	5	3
96	или менее	2	3
97	в их	4	3
98	и даже	5	3
99	несмотря на	4	3
100	и здесь	2	3
101	хотя и	3	3
102	в себе	2	3
103	i стр	4	3
104	как это	3	3
105	в одном	8	3
106	к которому	3	3
107	для них	2	2
108	и все	3	2
109	что касается	2	2
110	которую можно	2	2
111	не раз	2	2
112	вопрос о	3	2
113	идет о	3	2
114	в то	10	2
115	как и	9	2
116	и как	3	2
117	а то	2	2
118	же время	4	2
119	первую очередь	3	2
120	ли это	2	2
121	тот же	3	2
122	на те	2	2
123	между прочим	2	2
124	относится к	2	2
125	речь идет	3	2
126	в состоянии	2	2
127	и тем	2	2
128	ее в	2	2
129	ни в	6	2
130	не говоря	2	2
131	к г	2	2
132	ср также	4	2
133	то и	2	2
134	он не	3	2
135	не мог	3	2
136	или в	2	2
137	раз на	2	2
138	в более	3	2
139	и еще	3	2
140	е в	2	2
141	до конца	2	2
142	ничего не	3	2
143	но в	4	2
