N	2gram	Nazirov_Tr_1	Literetu
1	и не	7	22
2	и в	18	16
3	в мире	3	16
4	при этом	3	15
5	не только	8	14
6	но и	4	14
7	в этом	9	14
8	то что	4	12
9	может быть	7	12
10	в том	2	12
11	в частности	2	11
12	не в	2	10
13	своего рода	3	10
14	то же	5	9
15	так и	5	9
16	в то	5	9
17	том что	4	8
18	не может	5	8
19	в этой	4	8
20	как бы	7	8
21	же время	6	7
22	тем самым	3	7
23	с его	2	6
24	к тому	2	6
25	еще не	4	6
26	в его	3	6
27	и его	6	6
28	в себе	4	6
29	о том	2	6
30	это не	5	5
31	в году	9	5
32	что он	6	5
33	в ее	2	5
34	как и	5	5
35	в целом	4	5
36	как в	3	5
37	в отличие	2	5
38	что я	4	5
39	то есть	3	5
40	отличие от	2	5
41	никогда не	2	4
42	как у	2	4
43	до конца	2	4
44	данном случае	2	4
45	должно быть	3	4
46	в данном	2	4
47	как будто	3	4
48	в одном	2	4
49	отнюдь не	3	3
50	прежде всего	4	3
51	а я	5	3
52	в романе	10	3
53	и как	3	3
54	о чем	3	3
55	в самом	2	3
56	еще в	2	3
57	с ее	3	3
58	бы и	2	3
59	уже не	2	3
60	в глазах	2	3
61	не случайно	2	3
62	потому что	2	3
63	как это	3	3
64	но в	6	3
65	что в	4	2
66	в конце	3	2
67	я не	4	2
68	вопрос о	2	2
69	романа и	3	2
70	в нем	4	2
71	и ее	2	2
72	знает что	2	2
73	для него	3	2
74	и сам	3	2
75	несмотря на	5	2
76	на страницах	3	2
77	собой но	2	2
78	к жизни	5	2
79	один из	3	2
80	что и	2	2
81	все же	5	2
82	отношение к	2	2
83	так же	4	2
84	и даже	4	2
85	я к	2	2
86	и на	7	2
87	и с	7	2
88	тем что	2	2
89	он и	2	2
90	еще раз	2	2
91	его в	2	2
92	в первом	2	2
93	один в	3	2
94	одном из	2	2
95	русской литературы	2	2
