N	3gram	Savitsky_E_1	StatiiOP
1	в том что	6	17
2	для того чтобы	5	10
3	можно было бы	3	8
4	с точки зрения	16	8
5	в этом отношении	3	7
6	в данном случае	2	6
7	с другой стороны	2	6
8	во всяком случае	3	6
9	не может быть	2	5
10	то же время	14	4
11	в то же	15	4
12	не только в	4	4
13	того или иного	4	4
14	на то что	2	4
15	так и в	2	4
16	так же как	5	3
17	и в этом	4	3
18	и только в	2	3
19	только в том	2	3
20	в применении к	3	3
21	заключается в том	2	3
22	сказать что в	2	3
23	с одной стороны	8	2
24	хотя бы и	3	2
25	но в то	2	2
26	то что в	2	2
