N	2gram	Medvedev_F_2	Russkaja
1	не может	14	22
2	и не	20	19
3	в том	11	17
4	в этом	27	17
5	и в	38	14
6	то что	6	13
7	таким образом	20	11
8	то же	6	11
9	точки зрения	8	11
10	же время	5	10
11	но и	13	10
12	в то	5	10
13	том что	2	9
14	не только	9	9
15	с точки	7	9
16	может быть	23	9
17	во всяком	5	9
18	прежде всего	15	8
19	того чтобы	3	8
20	отнюдь не	8	7
21	к тому	4	7
22	не будет	2	7
23	самом деле	8	7
24	и с	9	7
25	если бы	5	6
26	на самом	3	6
27	что он	5	6
28	и к	4	6
29	с тем	11	6
30	для него	7	6
31	для того	3	6
32	всяком случае	5	6
33	если в	3	6
34	все это	3	6
35	и для	5	6
36	хотя бы	6	5
37	и на	3	5
38	при этом	9	5
39	было бы	6	5
40	в своей	7	5
41	он не	6	5
42	никогда не	2	5
43	в нем	13	5
44	во всех	5	5
45	и только	5	5
46	по существу	7	5
47	а в	6	5
48	потому что	2	5
49	только в	6	5
50	между тем	2	5
51	а лишь	3	4
52	но не	2	4
53	не могут	7	4
54	том случае	2	4
55	что в	7	4
56	то ни	2	4
57	как и	9	4
58	как бы	4	4
59	все же	8	4
60	жизни и	3	4
61	в корне	7	4
62	вместе с	6	4
63	со стороны	2	4
64	что же	5	4
65	в их	6	4
66	приводит к	2	4
67	тому чтобы	2	4
68	не в	15	4
69	и то	2	4
70	в этой	6	4
71	в его	10	4
72	его в	3	4
73	так как	4	4
74	для них	3	3
75	что это	3	3
76	именно в	5	3
77	в большинстве	4	3
78	из этих	3	3
79	в конце	2	3
80	с нею	2	3
81	главным образом	3	3
82	был и	2	3
83	всех этих	3	3
84	и как	3	3
85	то в	2	3
86	лишь в	7	3
87	что они	4	3
88	должно быть	2	3
89	в качестве	2	3
90	в самом	16	3
91	ни одна	2	3
92	ни стало	2	3
93	для этого	2	3
94	точке зрения	2	3
95	то это	3	3
96	что и	8	3
97	не есть	3	3
98	и т	14	3
99	из них	4	3
100	вряд ли	2	3
101	не было	6	3
102	что оно	4	3
103	сводится к	5	3
104	в значительной	3	3
105	того что	3	3
106	и по	2	3
107	что для	2	3
108	или в	3	3
109	тем что	8	3
110	говорить о	5	3
111	связи с	13	3
112	из этого	2	3
113	конце концов	2	3
114	место в	3	2
115	и более	2	2
116	должна быть	5	2
117	по этому	2	2
118	и от	2	2
119	с этим	5	2
120	этот вопрос	2	2
121	состоит в	2	2
122	или иного	5	2
123	по себе	7	2
124	пропаганды и	2	2
125	ни в	2	2
126	уже не	7	2
127	но это	2	2
128	является не	2	2
129	их к	3	2
130	от него	2	2
131	именно на	3	2
132	она не	2	2
133	совершенно не	4	2
134	и о	2	2
135	в ней	6	2
136	но совершенно	2	2
137	в котором	2	2
138	на почве	9	2
139	для нее	2	2
140	если же	2	2
141	и тем	2	2
142	центр тяжести	2	2
143	не к	2	2
144	в некоторых	4	2
145	быть и	3	2
146	ее в	2	2
147	даже не	2	2
148	тому что	2	2
149	все эти	6	2
150	не просто	2	2
151	только на	3	2
152	тем самым	2	2
153	а не	6	2
154	и наконец	4	2
155	и даже	4	2
156	не так	2	2
157	к нему	3	2
158	в других	7	2
159	в таком	2	2
160	в результате	6	2
161	их в	2	2
162	не о	4	2
163	даже и	4	2
164	того или	4	2
165	в этих	2	2
166	большинстве случаев	3	2
167	с ним	2	2
168	и должно	5	2
169	отметить что	2	2
170	в области	3	2
171	но в	4	2
