N	2gram	Bakhtin_Pr_5	Myshleni
1	точки зрения	7	26
2	таким образом	7	26
3	в том	5	24
4	и в	35	23
5	том что	3	21
6	в целом	3	20
7	с точки	2	18
8	то что	10	17
9	в этом	14	17
10	так же	7	16
11	не только	10	16
12	того что	3	15
13	говорит он	4	15
14	что в	6	14
15	может быть	14	14
16	но и	14	14
17	как и	18	14
18	в его	21	14
19	речи в	2	14
20	не может	18	12
21	как бы	31	11
22	сказать что	3	11
23	с другой	4	10
24	прежде всего	12	10
25	в отношении	9	10
26	другой стороны	3	9
27	и не	27	9
28	между тем	4	9
29	и с	12	9
30	вместе с	2	9
31	внутренней речи	5	9
32	самого начала	8	8
33	с самого	8	8
34	и на	6	8
35	то же	15	8
36	вопрос о	2	7
37	в самом	6	7
38	по отношению	6	7
39	в то	11	7
40	так как	4	7
41	с тем	3	7
42	что он	24	7
43	отношению к	7	7
44	в другом	12	7
45	все время	4	6
46	столь же	2	6
47	с этой	2	6
48	к слову	2	6
49	все это	14	6
50	лишь в	7	6
51	потому что	8	6
52	с этим	3	6
53	о том	2	6
54	в сущности	14	6
55	и его	14	6
56	мы можем	2	6
57	тем что	4	6
58	в себе	5	6
59	только в	6	6
60	тому что	2	5
61	и как	2	5
62	по себе	4	5
63	для этого	2	5
64	мы должны	3	5
65	и все	15	5
66	бы в	4	5
67	мысли в	2	5
68	но в	19	5
69	а затем	2	5
70	по своей	2	5
71	и что	6	5
72	он не	13	5
73	слова и	11	5
74	так и	8	5
75	как мы	8	5
76	связан с	2	5
77	всех тех	2	5
78	и т.д	3	5
79	из этого	2	5
80	но не	6	4
81	и речь	2	4
82	что все	2	4
83	только что	3	4
84	не в	10	4
85	высшей степени	3	4
86	при этом	2	4
87	друг с	4	4
88	время как	2	4
89	в котором	3	4
90	все эти	3	4
91	в высшей	3	4
92	их в	2	4
93	с его	7	4
94	внутренняя речь	3	4
95	в одном	6	4
96	и к	12	4
97	в чем	4	4
98	было бы	3	4
99	к тому	6	4
100	для себя	7	4
101	в своей	4	4
102	как в	5	4
103	приводит к	2	4
104	как раз	4	4
105	а с	3	4
106	хотя бы	2	4
107	ни в	2	4
108	с другом	4	4
109	этого слова	5	4
110	уже в	3	3
111	я не	8	3
112	что это	4	3
113	в своем	2	3
114	мысль и	2	3
115	и от	3	3
116	в такой	4	3
117	что они	6	3
118	в общем	3	3
119	друг другу	4	3
120	в которых	2	3
121	вовсе не	7	3
122	в одной	3	3
123	во всем	4	3
124	как он	2	3
125	всяком случае	4	3
126	сознания и	4	3
127	смысле этого	2	3
128	этих двух	2	3
129	что оно	2	3
130	такой же	3	3
131	во всех	3	3
132	не могу	3	3
133	с таким	2	3
134	все же	8	3
135	самом деле	10	3
136	а не	4	3
137	на этот	2	3
138	можно было	2	3
139	и то	5	3
140	во всяком	4	3
141	сам по	2	3
142	он в	4	3
143	мы говорили	2	3
144	внутреннюю речь	4	3
145	и это	5	3
146	в которой	2	3
147	ничего не	3	3
148	за собой	3	2
149	на вопрос	2	2
150	никогда не	4	2
151	другого как	2	2
152	что у	6	2
153	в конце	5	2
154	словом и	3	2
155	что его	2	2
156	но все	4	2
157	на этом	2	2
158	же время	10	2
159	что с	2	2
160	для него	14	2
161	хотя и	2	2
162	про себя	2	2
163	и мысли	3	2
164	мы видели	2	2
165	той же	2	2
166	и вот	4	2
167	в слове	6	2
168	и наконец	7	2
169	и даже	5	2
170	должно быть	3	2
171	бы и	2	2
172	а в	7	2
173	его мысли	2	2
174	нуждается в	3	2
175	говорить о	3	2
176	в первом	2	2
177	в этих	2	2
178	человека с	3	2
179	на нее	2	2
180	под влиянием	3	2
181	всех этих	2	2
182	в них	4	2
183	лежит в	2	2
184	он как	4	2
185	в раннем	2	2
186	с собой	2	2
187	в ее	3	2
188	почти на	3	2
189	одно и	3	2
190	со всеми	3	2
191	себе и	7	2
192	бы он	2	2
193	за пределы	3	2
194	наконец в	4	2
195	даже в	5	2
196	когда он	3	2
197	на него	5	2
198	уже не	3	2
199	и слово	8	2
200	в речи	2	2
201	на которой	2	2
202	с другими	2	2
203	между двумя	2	2
204	в виде	7	2
205	показать что	2	2
206	к другу	3	2
207	этими двумя	2	2
208	там где	7	2
