N	2gram	Losev_Prob_4	Tvorches
1	у достоевского	4	30
2	и в	20	20
3	не только	24	13
4	и т	4	13
5	в романах	2	13
6	т д	3	11
7	как бы	4	11
8	в его	3	10
9	таким образом	8	10
10	в то	4	10
11	там же	2	9
12	и его	10	9
13	и не	28	9
14	прежде всего	11	8
15	в том	20	8
16	при этом	6	8
17	но и	14	8
18	может быть	9	8
19	в этом	9	8
20	и с	7	8
21	это не	7	7
22	что в	3	7
23	не может	5	7
24	то же	7	7
25	потому что	15	7
26	xix века	2	7
27	в конце	2	6
28	что он	8	6
29	как и	6	6
30	в своей	4	6
31	так и	10	6
32	все это	9	6
33	именно в	7	6
34	а не	7	6
35	если он	2	5
36	но это	6	5
37	еще не	7	5
38	но не	5	5
39	все же	2	5
40	и даже	9	5
41	так же	5	5
42	и на	3	5
43	в этой	4	5
44	о том	5	5
45	то есть	27	5
46	об этом	6	4
47	за собой	2	4
48	и от	6	4
49	мы не	7	4
50	том что	12	4
51	что они	2	4
52	отнюдь не	10	4
53	на его	2	4
54	хотя и	5	4
55	что она	4	4
56	как в	5	4
57	если не	3	4
58	все эти	16	4
59	тем самым	4	4
60	не в	13	4
61	а в	4	4
62	в чем	2	4
63	и потому	7	4
64	если бы	8	4
65	но в	8	4
66	о великом	2	3
67	казалось бы	3	3
68	жизни в	2	3
69	с ним	4	3
70	для него	3	3
71	что не	4	3
72	одной из	4	3
73	в самом	2	3
74	он не	2	3
75	в котором	2	3
76	не является	10	3
77	в нем	5	3
78	мифа в	2	3
79	то что	15	3
80	и это	2	3
81	вместе с	5	3
82	так как	5	3
83	человека в	3	3
84	уже не	5	3
85	в таком	6	3
86	тем что	3	3
87	в себе	12	3
88	в начале	3	3
89	однако этот	2	3
90	у пушкина	3	3
91	его в	2	3
92	нет ничего	3	3
93	ни к	2	2
94	уже в	4	2
95	и вдруг	2	2
96	все время	2	2
97	не менее	10	2
98	и есть	4	2
99	это уже	3	2
100	и без	6	2
101	с другой	7	2
102	или даже	4	2
103	по крайней	6	2
104	в одном	4	2
105	не мешает	3	2
106	вовсе не	21	2
107	во всяком	8	2
108	и ее	4	2
109	в литературе	2	2
110	крайней мере	6	2
111	в ее	5	2
112	что его	4	2
113	тому же	2	2
114	у нас	14	2
115	так что	6	2
116	как о	3	2
117	и если	5	2
118	в частности	2	2
119	но если	6	2
120	всяком случае	4	2
121	нет и	2	2
122	не могли	2	2
123	только для	3	2
124	себя в	2	2
125	по преимуществу	2	2
126	в истории	3	2
127	и тогда	2	2
128	не было	3	2
129	но эта	2	2
130	всякого рода	3	2
131	самом деле	3	2
132	и что	2	2
133	и наконец	4	2
134	другой стороны	6	2
135	и он	2	2
136	не так	3	2
137	и по	2	2
138	друг друга	2	2
139	с другими	3	2
140	с ними	2	2
141	тут же	3	2
142	образ и	2	2
143	из них	3	2
144	в виде	22	2
145	в которой	2	2
146	говорить о	2	2
147	и вообще	6	2
148	и только	4	2
149	только в	23	2
150	действия и	2	2
151	при помощи	10	2
152	из этого	3	2
153	это все	2	2
154	едва ли	10	2
155	однако это	2	2
