N	2gram	Tiupa_Anal_1	Poddanst
1	не только	15	17
2	и в	18	14
3	и не	21	12
4	в области	4	11
5	в этом	13	10
6	то же	9	9
7	в том	27	9
8	в качестве	31	9
9	но в	8	9
10	хотя бы	3	8
11	в пределах	2	8
12	же время	6	7
13	в то	9	7
14	только в	6	7
15	быть может	2	6
16	но и	17	6
17	было бы	2	6
18	с другой	4	5
19	не в	14	5
20	и о	2	5
21	может быть	29	5
22	в котором	3	4
23	то что	6	4
24	что в	5	4
25	если бы	3	4
26	не может	22	4
27	по себе	4	4
28	и к	3	4
29	а в	9	4
30	том что	12	4
31	а также	3	4
32	как бы	5	4
33	и потому	2	4
34	сами по	2	3
35	в нем	3	3
36	и т	3	3
37	она есть	2	3
38	столь же	4	3
39	это не	6	3
40	с одной	3	3
41	прежде всего	6	3
42	тем самым	7	3
43	для того	4	3
44	с точки	4	3
45	сводится к	5	3
46	и как	5	3
47	между тем	5	3
48	но не	10	3
49	могут быть	4	3
50	точки зрения	6	3
51	в себе	11	3
52	что мы	3	3
53	одной стороны	3	3
54	потому что	2	3
55	я и	6	3
56	творчества и	2	2
57	том числе	3	2
58	в мире	8	2
59	не к	2	2
60	именно в	4	2
61	и есть	3	2
62	в частности	19	2
63	но к	2	2
64	отнюдь не	15	2
65	тем более	2	2
66	со стороны	2	2
67	но о	2	2
68	не столько	2	2
69	отношения к	2	2
70	думать что	2	2
71	а не	17	2
72	бы ни	2	2
73	того что	4	2
74	должно быть	2	2
75	сколько бы	2	2
76	полной мере	3	2
77	если в	3	2
78	есть не	8	2
79	в силу	3	2
80	в начале	2	2
81	из них	2	2
82	более чем	4	2
83	мысль о	2	2
84	в полной	3	2
85	культуры в	2	2
86	в ряду	2	2
87	не о	2	2
88	что из	2	2
89	в его	13	2
90	и с	2	2
