N	2gram	Savitsky_E_1	VeschiIm
1	не есть	2	49
2	т е	9	42
3	не может	9	33
4	не только	18	31
5	может быть	6	29
6	и не	14	28
7	и в	37	26
8	то что	6	24
9	это значит	2	22
10	а не	2	20
11	в смысле	9	15
12	только в	9	14
13	и что	2	13
14	того что	7	13
15	по себе	4	13
16	что это	2	12
17	было бы	8	12
18	но и	14	12
19	сказать что	4	12
20	есть не	2	12
21	и то	2	12
22	что же	2	11
23	таким образом	2	11
24	то же	15	10
25	в ней	4	10
26	как бы	6	10
27	потому что	3	10
28	в том	11	9
29	в самом	4	9
30	бы то	4	9
31	и с	2	9
32	ни было	4	9
33	прежде всего	9	9
34	то ни	4	9
35	на то	6	8
36	в себе	9	8
37	также и	7	7
38	в то	16	7
39	так как	7	7
40	том что	6	7
41	не будет	3	7
42	с другими	2	7
43	в этом	12	7
44	ли это	3	7
45	и как	2	6
46	что в	21	6
47	но если	5	6
48	жизни и	2	6
49	со стороны	5	6
50	и только	3	6
51	в результате	3	6
52	точки зрения	23	6
53	то не	2	6
54	но в	14	6
55	есть ли	2	6
56	она не	2	6
57	бы и	3	6
58	можно было	3	6
59	должна быть	2	5
60	ведь и	2	5
61	в отношении	32	5
62	вообще не	3	5
63	с этой	6	5
64	не в	5	5
65	свою очередь	2	5
66	и тут	2	5
67	а в	2	5
68	ни на	3	5
69	с тем	3	5
70	если бы	2	5
71	отнюдь не	9	5
72	в свою	3	5
73	в ее	8	5
74	но не	5	5
75	того же	3	5
76	и для	3	5
77	на себя	3	5
78	можно ли	3	4
79	в своем	14	4
80	с другой	7	4
81	как же	2	4
82	независимо от	4	4
83	же время	14	4
84	и мы	3	4
85	точка зрения	2	4
86	с а	2	4
87	из них	3	4
88	в их	11	4
89	и даже	6	4
90	с этим	2	4
91	о том	3	4
92	и более	2	4
93	и все	2	4
94	как и	7	4
95	во всех	6	4
96	его на	2	4
97	и потому	5	4
98	что и	3	4
99	этот вопрос	2	4
100	между ними	2	4
101	с точки	17	4
102	мы не	4	4
103	в данном	3	4
104	тем что	3	4
105	никогда не	3	3
106	но даже	4	3
107	вопрос о	4	3
108	можно сказать	4	3
109	к тому	8	3
110	несмотря на	4	3
111	но как	2	3
112	тогда когда	2	3
113	само по	4	3
114	в одном	2	3
115	и притом	4	3
116	мы видим	2	3
117	между прочим	7	3
118	к ней	4	3
119	себе не	3	3
120	в своей	8	3
121	вместе с	2	3
122	так и	10	3
123	из того	2	3
124	в той	5	3
125	бы в	2	3
126	того чтобы	6	3
127	хотя бы	15	3
128	тем более	4	3
129	с в	2	3
130	как оно	2	3
131	нечто абсолютно	2	2
132	подходит к	2	2
133	в частности	5	2
134	именно потому	2	2
135	что на	2	2
136	и можно	2	2
137	мог бы	2	2
138	и если	2	2
139	и та	2	2
140	в сфере	3	2
141	и тем	3	2
142	только одно	2	2
143	данном случае	2	2
144	этой точки	5	2
145	заключается в	2	2
146	во втором	2	2
147	так же	9	2
148	не из	3	2
149	прочим и	2	2
150	в своих	2	2
151	как это	4	2
152	то есть	6	2
153	мы можем	3	2
154	от этого	5	2
155	жизни в	3	2
156	и во	2	2
157	бы ни	3	2
158	то в	4	2
159	в силу	2	2
160	в качестве	14	2
161	не нужно	2	2
162	но именно	2	2
163	наряду с	2	2
164	но еще	2	2
165	это так	3	2
166	он не	2	2
167	и этот	2	2
168	только к	2	2
169	когда он	3	2
170	к природе	2	2
171	как в	3	2
172	еще более	2	2
173	как мы	5	2
174	для того	6	2
175	во всяком	3	2
176	и таким	2	2
177	отношении к	15	2
178	дело в	3	2
