N	2gram	Medvedev_F_3	Hudozhes
1	и в	27	28
2	том что	4	19
3	в ее	4	18
4	и не	30	18
5	в том	7	15
6	а не	17	14
7	не в	12	13
8	в этом	18	13
9	о том	4	12
10	как и	14	11
11	при этом	8	11
12	в его	7	11
13	не только	9	11
14	уже не	3	10
15	но и	10	9
16	в себе	3	9
17	в жизни	11	8
18	что он	6	8
19	может быть	25	8
20	так и	21	8
21	между тем	7	8
22	жизни в	3	7
23	и все	8	7
24	к тому	4	7
25	отношению к	3	7
26	что она	2	7
27	по отношению	3	7
28	как это	4	7
29	это не	3	6
30	можно сказать	3	6
31	в котором	2	6
32	то что	8	6
33	жизни и	4	6
34	в своей	6	6
35	если бы	12	6
36	то же	15	6
37	сводится к	5	6
38	и с	3	6
39	тем что	5	6
40	в то	7	6
41	с его	2	5
42	что это	3	5
43	не менее	7	5
44	в своем	2	5
45	как бы	8	5
46	как в	4	5
47	да и	4	5
48	с ее	2	5
49	в этой	2	5
50	что в	8	5
51	она не	4	5
52	в самом	11	5
53	никогда не	5	5
54	только на	4	5
55	и его	19	5
56	ничего не	2	5
57	бы и	3	4
58	тому что	3	4
59	превращается в	2	4
60	тем не	2	4
61	то в	2	4
62	но не	5	4
63	что они	5	4
64	же время	7	4
65	в художественном	5	4
66	для того	4	4
67	что и	2	4
68	и т	11	4
69	как раз	8	4
70	не может	24	4
71	человека в	2	4
72	того чтобы	5	4
73	подобно тому	4	4
74	только в	8	4
75	тому как	5	4
76	бы не	2	3
77	все время	6	3
78	была бы	2	3
79	в них	3	3
80	характерно что	2	3
81	столь же	3	3
82	с другой	6	3
83	человека и	2	3
84	но при	2	3
85	прежде всего	4	3
86	в нем	15	3
87	и ее	6	3
88	для нас	3	3
89	самом деле	16	3
90	и тех	2	3
91	как о	2	3
92	еще не	6	3
93	было бы	6	3
94	одной из	2	3
95	в ней	5	3
96	мы уже	3	3
97	в этих	3	3
98	со стороны	4	3
99	все это	7	3
100	на фоне	3	3
101	чтобы не	2	3
102	так же	9	3
103	и на	3	3
104	же самое	3	3
105	на ее	4	3
106	как он	2	3
107	и это	2	3
108	героя и	2	3
109	в основе	3	2
110	место в	10	2
111	сам он	2	2
112	только не	2	2
113	т е	32	2
114	отнюдь не	8	2
115	однако в	2	2
116	его и	3	2
117	именно так	5	2
118	не как	2	2
119	и от	11	2
120	из этих	2	2
121	вовсе не	28	2
122	или иной	2	2
123	как мы	8	2
124	мы знаем	4	2
125	же как	3	2
126	одна из	2	2
127	на этом	2	2
128	с такой	2	2
129	говорит в	2	2
130	они и	3	2
131	же и	4	2
132	о нем	3	2
133	не является	5	2
134	оно не	3	2
135	все же	6	2
136	из них	2	2
137	ни с	2	2
138	вместе с	6	2
139	дело не	2	2
140	жизни с	2	2
141	данном случае	4	2
142	который был	2	2
143	что же	5	2
144	и тогда	2	2
145	дело с	3	2
146	здесь не	2	2
147	т п	5	2
148	т д	6	2
149	те же	3	2
150	лишь в	9	2
151	именно на	2	2
152	и эта	3	2
153	между ними	15	2
154	хотя бы	6	2
155	и для	6	2
156	с точки	14	2
157	той же	3	2
158	роль в	4	2
159	в данном	6	2
160	сказать что	3	2
161	потому что	7	2
162	нуждается в	3	2
163	точки зрения	16	2
164	говорить о	2	2
165	и только	2	2
166	его в	7	2
167	но в	6	2
168	том как	2	2
