N	2gram	Bakhtin_Fr_5	RusskieA
1	и в	45	29
2	что в	12	22
3	том что	7	22
4	в том	10	22
5	как бы	12	18
6	и другие	3	14
7	может быть	2	13
8	так как	6	13
9	во время	12	12
10	как и	10	11
11	в этом	14	11
12	все это	7	10
13	в этот	2	10
14	и с	10	10
15	не только	14	10
16	о том	4	9
17	а в	4	9
18	на части	5	9
19	но и	10	8
20	его в	5	8
21	мы видели	7	7
22	данном случае	2	7
23	как в	3	7
24	с тем	2	6
25	мы не	4	6
26	для того	6	6
27	вместе с	3	6
28	таким образом	8	6
29	при этом	2	6
30	того чтобы	6	6
31	и на	5	6
32	в данном	2	6
33	потому что	7	5
34	это не	3	5
35	к этому	2	5
36	то что	2	5
37	и что	2	5
38	но не	4	5
39	не может	5	5
40	но в	14	5
41	именно в	3	4
42	о чем	3	4
43	в них	6	4
44	и все	7	4
45	по существу	3	4
46	не в	7	4
47	к нему	2	4
48	же как	4	4
49	том же	2	4
50	а также	4	4
51	так же	8	4
52	то же	11	4
53	а не	4	4
54	в которых	3	4
55	как это	4	4
56	на этом	5	3
57	и там	2	3
58	в качестве	2	3
59	и от	4	3
60	в году	3	3
61	в народном	2	3
62	связаны с	4	3
63	того что	3	3
64	было бы	2	3
65	и о	4	3
66	что она	3	3
67	не имеет	3	3
68	во всех	13	3
69	не будем	2	3
70	связь с	3	3
71	а именно	2	3
72	в свете	2	3
73	в отличие	2	3
74	все эти	5	3
75	как мы	8	3
76	между тем	2	3
77	но он	3	3
78	в этой	6	3
79	что это	2	3
80	отличие от	2	3
81	в эту	2	3
82	не менее	3	2
83	начиная с	2	2
84	связи с	6	2
85	об этом	4	2
86	связанные с	3	2
87	жизни в	2	2
88	не столько	2	2
89	игра в	2	2
90	из этих	3	2
91	это в	2	2
92	прежде всего	10	2
93	что и	7	2
94	к ней	2	2
95	в г	2	2
96	это и	5	2
97	кроме того	4	2
98	и как	5	2
99	одним из	5	2
100	то время	3	2
101	здесь в	4	2
102	для них	2	2
103	на эту	2	2
104	этого праздника	5	2
105	что на	3	2
106	в церкви	2	2
107	еще в	2	2
108	один из	2	2
109	должен быть	2	2
110	но она	3	2
111	все же	2	2
112	в своей	3	2
113	в их	4	2
114	не было	3	2
115	в течение	3	2
116	на самом	5	2
117	там где	3	2
118	эта связь	4	2
119	и для	3	2
120	можно было	4	2
121	право на	10	2
122	жизнь и	2	2
123	так в	2	2
124	одно из	2	2
125	с этим	4	2
126	это время	2	2
127	под названием	2	2
128	от земли	2	2
129	в то	11	2
130	игры в	2	2
131	смерть и	2	2
132	заметить что	2	2
133	церкви и	2	2
134	есть в	3	2
