N	2gram	Berdyaev_O_1	Psycholo
1	в том	5	37
2	и в	19	32
3	том что	2	21
4	то что	5	21
5	потому что	9	21
6	что в	4	20
7	может быть	11	18
8	что и	2	17
9	не может	4	17
10	того чтобы	4	14
11	что он	3	13
12	для того	3	13
13	в этом	12	13
14	по себе	2	12
15	в самом	5	12
16	не только	11	12
17	так как	2	12
18	с тем	2	11
19	было бы	3	11
20	как и	6	10
21	когда он	3	10
22	но и	13	10
23	и не	13	10
24	никогда не	9	9
25	что все	2	9
26	в своих	3	9
27	тем что	2	9
28	не в	11	8
29	того что	3	8
30	а не	11	7
31	все эти	4	7
32	и его	4	7
33	что для	2	7
34	сказать что	2	7
35	что они	2	7
36	в этой	5	6
37	и из	2	6
38	он не	7	6
39	как бы	3	6
40	о том	3	6
41	что у	2	5
42	все это	6	5
43	и на	2	5
44	в нем	10	4
45	все же	2	4
46	а в	5	4
47	и все	10	4
48	не имеет	2	4
49	и для	2	4
50	и с	2	4
51	могут быть	3	4
52	в творчестве	5	4
53	ничего не	2	4
54	не могут	3	3
55	но он	7	3
56	хотя бы	3	3
57	и к	2	3
58	так что	2	3
59	до конца	7	3
60	в своей	2	3
61	не могли	2	3
62	так и	2	3
63	и ее	3	3
64	что же	2	3
65	и вот	3	3
66	что не	4	3
67	и он	8	3
68	как к	2	3
69	он в	2	3
70	и то	2	3
71	но в	2	3
72	это было	3	3
73	с его	4	2
74	ничего кроме	2	2
75	все что	3	2
76	это не	3	2
77	и от	3	2
78	до самой	3	2
79	еще не	3	2
80	должен был	2	2
81	к нему	3	2
82	и никогда	2	2
83	в его	7	2
84	в ее	2	2
85	в этих	3	2
86	отношение к	5	2
87	ни у	2	2
88	не было	9	2
89	в самой	9	2
90	в других	2	2
91	в себе	3	2
92	искать не	2	2
93	в которой	2	2
