N	2gram	Bakhtin_Pr_1	Komedia
1	и в	38	22
2	том что	3	12
3	в том	8	11
4	но и	9	11
5	не только	9	10
6	в то	4	10
7	как и	7	9
8	и т	14	9
9	может быть	26	9
10	таким образом	10	8
11	и не	42	8
12	и его	16	8
13	о том	4	8
14	едва ли	3	7
15	и других	2	7
16	что в	7	6
17	что он	2	6
18	ни в	11	6
19	то же	5	6
20	не в	7	6
21	а в	6	6
22	с другой	7	5
23	прежде всего	13	5
24	о которых	2	5
25	при этом	5	5
26	в его	43	5
27	в истории	2	5
28	так и	5	5
29	как в	4	5
30	все это	3	5
31	другой стороны	4	5
32	и даже	3	5
33	т п	13	5
34	между тем	7	5
35	в их	10	4
36	к этому	2	4
37	по поводу	2	4
38	ясно что	3	4
39	несмотря на	3	4
40	как мы	7	4
41	в другом	2	4
42	же время	3	4
43	в котором	2	4
44	в нем	15	4
45	что и	2	4
46	на него	3	4
47	тем что	2	4
48	точки зрения	8	4
49	но в	4	4
50	мы можем	6	4
51	место в	8	3
52	не менее	4	3
53	в них	5	3
54	на то	2	3
55	в тех	3	3
56	у нас	2	3
57	и как	8	3
58	здесь в	2	3
59	одной стороны	3	3
60	одной из	3	3
61	в начале	2	3
62	и у	2	3
63	в частности	2	3
64	и о	5	3
65	да и	3	3
66	хотя и	3	3
67	он не	3	3
68	все же	6	3
69	отношению к	19	3
70	в целом	3	3
71	отношение к	10	3
72	по отношению	21	3
73	можно сделать	2	3
74	этом отношении	2	3
75	с одной	3	3
76	здесь мы	2	3
77	и на	3	3
78	в более	4	3
79	в этом	15	3
80	и с	17	3
81	в виде	2	3
82	могут быть	5	3
83	и ее	2	3
84	только в	13	3
85	и все	3	3
86	его в	9	3
87	в чем	2	3
88	как это	2	3
89	ничего не	6	3
90	к которому	4	3
91	и здесь	2	2
92	в форму	2	2
93	ни было	3	2
94	независимо от	13	2
95	за пределы	12	2
96	то ни	3	2
97	столь же	2	2
98	и во	2	2
99	и мир	2	2
100	вовсе не	2	2
101	в свою	2	2
102	от них	2	2
103	тем не	3	2
104	а к	2	2
105	одна из	2	2
106	на этом	2	2
107	но не	12	2
108	в себя	2	2
109	еще не	7	2
110	было бы	8	2
111	в самом	7	2
112	относится к	4	2
113	и тем	3	2
114	то что	8	2
115	бы то	3	2
116	не к	6	2
117	все что	3	2
118	не может	27	2
119	в других	4	2
120	которых мы	4	2
121	в форме	4	2
122	из которых	2	2
123	к нему	10	2
124	или в	2	2
125	но это	3	2
126	не следует	2	2
127	тем как	5	2
128	только при	2	2
129	в своих	2	2
130	в себе	4	2
131	же самое	2	2
132	отличие от	5	2
133	в области	11	2
