N	2gram	Voloshinov_1	VrazhdaK
1	не только	8	9
2	лишнего человека	2	8
3	в этом	16	8
4	и в	19	8
5	но и	8	7
6	что в	4	7
7	то что	8	7
8	и все	5	7
9	в котором	3	6
10	в нем	10	6
11	все же	8	6
12	– это	8	6
13	и даже	2	6
14	в романе	2	6
15	как и	12	6
16	в начале	5	6
17	но в	7	6
18	и с	2	6
19	то же	7	5
20	не было	3	5
21	и не	26	5
22	между тем	3	5
23	в то	3	5
24	же время	3	5
25	как бы	15	4
26	все это	3	4
27	целый ряд	3	4
28	что он	2	4
29	так же	7	4
30	в своих	2	4
31	может быть	26	4
32	при этом	8	4
33	в истории	3	4
34	о том	2	4
35	в ней	4	4
36	в виду	2	4
37	связи с	11	3
38	в своем	2	3
39	и во	2	3
40	в связи	7	3
41	в конце	5	3
42	к этому	5	3
43	человека в	2	3
44	в том	6	3
45	и его	19	3
46	том что	3	3
47	и как	3	3
48	тем что	2	3
49	в его	6	3
50	далеко не	4	3
51	в русской	2	3
52	его в	3	3
53	в чем	2	3
54	одним из	2	3
55	он не	3	3
56	и т.п	10	2
57	в эти	2	2
58	место в	3	2
59	в своей	3	2
60	и это	3	2
61	из них	3	2
62	не менее	4	2
63	никогда не	2	2
64	отнюдь не	6	2
65	как раз	2	2
66	не может	24	2
67	а в	4	2
68	таким образом	17	2
69	рядом с	5	2
70	на первый	2	2
71	и он	2	2
72	мы знаем	5	2
73	с точки	20	2
74	как же	4	2
75	этот момент	2	2
76	же как	2	2
77	точки зрения	34	2
78	в свою	2	2
79	и ее	3	2
80	в себе	2	2
81	для него	9	2
82	еще не	4	2
83	одна из	2	2
