N	2gram	Berdyaev_M_1	VLabPisa
1	в этом	20	26
2	и в	28	25
3	не только	29	22
4	может быть	30	21
5	хотя бы	3	20
6	и не	11	19
7	т е	2	17
8	не может	28	17
9	в его	9	15
10	прежде всего	10	13
11	в том	6	13
12	все это	6	12
13	л толстой	2	11
14	не могут	5	10
15	о том	2	10
16	к этому	2	9
17	что в	10	9
18	для него	11	9
19	но и	25	9
20	все эти	2	8
21	в своем	10	8
22	могут быть	2	8
23	как и	5	7
24	том что	3	7
25	было бы	10	7
26	отношению к	2	7
27	вместе с	6	7
28	по отношению	2	7
29	не было	18	7
30	а не	25	7
31	у него	17	6
32	это не	5	6
33	в себе	7	6
34	это и	4	6
35	то что	5	6
36	в нем	13	6
37	л толстого	3	6
38	бы и	3	6
39	и его	9	6
40	в то	2	6
41	все же	2	5
42	и есть	14	5
43	одним из	2	5
44	как бы	2	5
45	один из	4	5
46	в их	4	5
47	приводит к	2	5
48	сказать что	2	5
49	только в	6	5
50	не в	16	5
51	к тому	3	4
52	никогда не	14	4
53	что он	10	4
54	с его	3	4
55	в ее	3	4
56	в своей	15	4
57	в самом	11	4
58	должен быть	2	4
59	когда он	3	4
60	в них	4	4
61	в этой	6	4
62	и к	2	3
63	с тем	9	3
64	и как	2	3
65	даже и	2	3
66	и мир	2	3
67	и от	2	3
68	в конце	7	3
69	человека и	14	3
70	момент в	2	3
71	у нас	5	3
72	в творчестве	10	3
73	с этим	3	3
74	и он	12	3
75	в виду	2	3
76	в котором	8	3
77	нет и	5	3
78	его в	3	3
79	что и	4	3
80	жизни и	2	3
81	и их	3	3
82	что без	2	3
83	того что	7	3
84	и по	4	3
85	его не	3	3
86	в которых	4	3
87	точки зрения	4	3
88	она не	4	3
89	в дневнике	2	3
90	бы в	2	3
91	своем творчестве	2	3
92	он сам	6	2
93	я бы	2	2
94	связана с	2	2
95	мира и	5	2
96	отличается от	2	2
97	в жизни	3	2
98	своих героев	2	2
99	а как	2	2
100	нет никаких	2	2
101	до сих	2	2
102	и потому	10	2
103	но не	8	2
104	смысле слова	4	2
105	для того	2	2
106	он и	2	2
107	если бы	2	2
108	ни с	4	2
109	в ней	15	2
110	конце концов	2	2
111	относится к	2	2
112	и этот	4	2
113	сих пор	2	2
114	этот процесс	3	2
115	может не	2	2
116	и достоевский	12	2
117	бы не	2	2
118	а в	4	2
119	достоевского и	10	2
120	человека в	13	2
121	чтобы не	2	2
122	того чтобы	2	2
123	показывает как	2	2
124	и для	2	2
125	к этим	2	2
126	также и	2	2
127	русских писателей	3	2
128	лишь в	6	2
129	он в	2	2
130	он не	24	2
131	это особенно	2	2
132	самого себя	2	2
133	от его	2	2
134	будто бы	3	2
135	как он	2	2
136	в которой	6	2
137	о чем	2	2
138	но в	7	2
139	значит что	4	2
