N	2gram	Tiupa_Disk_1	Vvedenie
1	и в	16	32
2	в том	23	31
3	в этом	15	30
4	может быть	17	26
5	том что	19	26
6	не только	28	22
7	таким образом	3	19
8	также и	3	18
9	то что	5	16
10	потому что	4	15
11	не может	9	14
12	в самом	3	13
13	в нем	9	13
14	о том	8	13
15	со стороны	7	13
16	того что	3	12
17	в их	5	12
18	и не	11	12
19	представляет собой	17	12
20	в его	7	12
21	только в	7	12
22	как мы	2	11
23	в ее	3	11
24	в данном	5	11
25	языка и	2	10
26	что в	4	10
27	но в	8	9
28	и как	6	9
29	в истории	4	9
30	между тем	4	9
31	по себе	3	9
32	то же	7	9
33	не менее	2	8
34	с другой	10	8
35	это не	3	8
36	не в	7	8
37	именно в	3	8
38	прежде всего	11	7
39	точки зрения	3	7
40	о котором	2	7
41	но не	11	7
42	все же	3	7
43	дело с	2	7
44	же время	4	6
45	том чтобы	2	6
46	один из	3	6
47	но и	14	6
48	и даже	3	6
49	в то	3	6
50	как и	16	6
51	в качестве	34	6
52	хотя бы	3	6
53	и его	2	6
54	тем что	3	6
55	уже в	2	5
56	в какой	2	5
57	так например	2	5
58	как бы	5	5
59	и тем	2	5
60	в целом	4	5
61	данном случае	2	5
62	другой стороны	3	5
63	одним из	2	5
64	в которых	4	5
65	сказать что	3	5
66	в них	4	5
67	об этом	2	5
68	в г	2	5
69	по своему	3	5
70	не есть	2	5
71	а не	22	5
72	что не	4	5
73	могут быть	4	5
74	в каждом	2	4
75	как уже	3	4
76	особого рода	2	4
77	времени и	3	4
78	одной стороны	9	4
79	о чем	2	4
80	в котором	5	4
81	по мере	2	4
82	в тексте	2	4
83	по отношению	9	4
84	в особенности	4	4
85	с одной	9	4
86	и что	2	4
87	а в	5	4
88	в первом	3	4
89	мы имеем	2	4
90	нельзя не	2	4
91	по крайней	2	4
92	что он	4	4
93	еще не	14	4
94	крайней мере	2	4
95	отношению к	9	4
96	в своей	5	4
97	внимание на	4	4
98	уже не	4	4
99	во всяком	2	4
100	и ее	2	4
101	в себе	7	4
102	и т.д	4	4
103	зависит от	2	3
104	и есть	2	3
105	в частности	9	3
106	или меньшей	2	3
107	можно сказать	5	3
108	к тому	5	3
109	в строгом	3	3
110	в этой	2	3
111	на этом	2	3
112	большей или	2	3
113	что с	2	3
114	при этом	13	3
115	такого рода	4	3
116	хотя и	2	3
117	в виду	2	3
118	из наиболее	2	3
119	отношение к	4	3
120	из них	3	3
121	на том	2	3
122	дело не	2	3
123	в своем	6	3
124	в основании	3	3
125	заключается в	3	3
126	и на	5	3
127	в начале	2	3
128	что даже	2	3
129	однако в	3	3
130	не как	4	3
131	к этому	2	3
132	с понятием	2	3
133	стороны и	2	3
134	в различных	2	3
135	и к	4	3
136	связи с	4	3
137	текст и	2	3
138	одной из	4	3
139	в одном	2	3
140	своей природе	2	3
141	в сущности	2	3
142	текста и	2	3
143	а также	8	3
144	что и	3	3
145	своего рода	8	3
146	что же	2	3
147	что представляет	2	3
148	он мог	3	3
149	времени в	2	3
150	и вообще	2	3
151	то она	2	2
152	никогда не	2	2
153	это в	2	2
154	или иной	5	2
155	но зато	2	2
156	соответствии с	2	2
157	литературы в	2	2
158	имеет свою	3	2
159	обратить внимание	2	2
160	наших дней	2	2
161	из двух	2	2
162	и др	2	2
163	говоря уже	2	2
164	не говоря	2	2
165	в форме	2	2
166	не было	7	2
167	же касается	2	2
168	этого термина	2	2
169	во втором	4	2
170	в принципе	2	2
171	языка с	2	2
172	не следует	2	2
173	с этим	3	2
174	той или	3	2
175	же самое	2	2
176	так и	8	2
177	ни к	6	2
178	состоит в	9	2
179	не с	3	2
180	в соответствии	2	2
181	того же	3	2
182	во всех	5	2
183	и требует	2	2
184	мысли и	2	2
185	тогда как	19	2
186	хотя в	2	2
187	котором он	2	2
188	в значительной	2	2
189	тому как	3	2
190	в силу	5	2
191	подобно тому	2	2
192	в другом	2	2
193	на протяжении	2	2
194	будто бы	2	2
195	в каждой	3	2
