N	3gram	Bakhtin_Pr_1	Psycholo
1	в том что	6	17
2	в самом деле	2	11
3	с точки зрения	13	10
4	не может быть	4	8
5	и т п	3	8
6	в этом отношении	3	5
7	до сих пор	2	5
8	на самом деле	4	5
9	в данном случае	2	4
10	можно было бы	2	4
11	сами по себе	3	3
12	в конце концов	5	3
13	само по себе	3	3
14	том что он	4	3
15	и не может	2	2
16	то же время	9	2
17	таким образом все	2	2
18	бы то ни	2	2
19	во всяком случае	3	2
20	потому что она	3	2
21	подобно тому как	3	2
22	начала и до	2	2
23	в то же	9	2
24	с другой стороны	3	2
25	то же что	3	2
