N	3gram	Losev_Dial_4	Myslijsy
1	в том что	9	13
2	не может быть	6	9
3	и в этом	3	6
4	тем не менее	2	6
5	субъекта и объекта	4	4
6	не в том	4	4
7	в свою очередь	2	4
8	и т д	15	4
9	само по себе	4	4
10	только тогда когда	4	4
11	в этом смысле	4	4
12	то же время	6	3
13	с точки зрения	9	3
14	в то же	6	3
15	свободы и необходимости	3	3
16	сама по себе	5	3
17	подобно тому как	4	3
18	и той же	3	3
19	одной и той	3	3
20	по крайней мере	7	2
21	что иное как	8	2
22	то и другое	2	2
23	мы не имеем	2	2
24	в сравнении с	2	2
25	не что иное	8	2
26	потому что мы	2	2
27	для того чтобы	5	2
