N	3gram	Potebnia_M_2	Problema
1	и т д	3	13
2	тем не менее	5	10
3	в том что	7	9
4	сама по себе	2	8
5	сами по себе	7	6
6	во всяком случае	7	6
7	сам по себе	4	6
8	по крайней мере	5	5
9	с другой стороны	2	5
10	не может быть	2	5
11	в то время	4	4
12	в таком случае	2	4
13	в то же	2	4
14	и то же	2	4
15	то время как	3	4
16	или по крайней	2	4
17	не было бы	4	3
18	в том смысле	4	3
19	одно и то	2	3
20	само по себе	2	3
21	так что мы	2	2
22	только потому что	2	2
23	до сих пор	4	2
24	в сравнении с	2	2
25	на самом деле	2	2
