N	2gram	Medvedev_U_1	FransuaR
1	и в	14	41
2	таким образом	2	19
3	в этом	7	15
4	как и	3	14
5	в этой	4	13
6	то же	5	13
7	в его	2	12
8	прежде всего	8	11
9	в том	2	11
10	в себе	2	11
11	все это	5	10
12	в то	3	10
13	не в	2	9
14	же время	3	9
15	но и	4	9
16	в конце	2	8
17	по существу	2	8
18	то что	7	8
19	но в	3	8
20	и не	8	7
21	все они	2	6
22	это не	3	6
23	для него	3	6
24	только в	2	6
25	не только	10	5
26	что и	2	5
27	и у	2	5
28	и для	2	5
29	том что	2	4
30	было бы	3	4
31	может быть	6	4
32	и с	2	4
33	конце концов	2	4
34	ничего не	2	4
35	но это	2	3
36	в своей	3	3
37	что он	2	3
38	в их	4	3
39	не может	7	3
40	нас в	2	3
41	тем что	2	3
42	что все	2	2
43	с его	2	2
44	ни было	3	2
45	не есть	2	2
46	этом отношении	2	2
47	для всех	2	2
48	а не	10	2
49	мы не	2	2
50	и то	3	2
51	и т.д	3	2
52	в области	3	2
53	это было	2	2
