N	2gram	Bakhtin_Pr_1	VeschiIm
1	не есть	6	49
2	не может	27	33
3	не только	9	31
4	может быть	26	29
5	и не	42	28
6	и в	38	26
7	то что	8	24
8	и есть	2	23
9	и т	14	21
10	а не	5	20
11	есть только	2	17
12	только в	13	14
13	и что	2	13
14	того что	2	13
15	что это	2	12
16	было бы	8	12
17	но и	9	12
18	сказать что	4	12
19	есть не	2	12
20	все же	6	12
21	в себя	2	12
22	и ее	2	12
23	таким образом	10	11
24	то же	5	10
25	в ней	4	10
26	как бы	22	10
27	в том	8	9
28	в самом	7	9
29	бы то	3	9
30	и с	17	9
31	ни было	3	9
32	прежде всего	13	9
33	то ни	3	9
34	что не	4	9
35	себя и	3	8
36	на то	2	8
37	но это	3	8
38	в себе	4	8
39	и это	3	8
40	ничего не	6	8
41	совершенно не	7	7
42	что оно	2	7
43	также и	3	7
44	говорить о	3	7
45	в то	4	7
46	его в	9	7
47	том что	3	7
48	себя в	2	7
49	и пр	2	7
50	с другими	3	7
51	в этом	15	7
52	и как	8	6
53	что в	7	6
54	ни с	2	6
55	отличается от	2	6
56	и только	4	6
57	должно быть	5	6
58	точки зрения	8	6
59	но в	4	6
60	ясно что	3	6
61	она не	2	6
62	относится к	4	6
63	с ним	5	6
64	можно было	4	6
65	быть только	5	6
66	не менее	4	5
67	должна быть	4	5
68	вообще не	7	5
69	это не	5	5
70	тем не	3	5
71	не в	7	5
72	еще не	7	5
73	должны быть	4	5
74	а в	6	5
75	как к	2	5
76	если бы	3	5
77	отнюдь не	19	5
78	в свою	2	5
79	в ее	4	5
80	у нас	2	5
81	одна из	2	5
82	но не	12	5
83	другими словами	2	5
84	и для	11	5
85	в чем	2	5
86	как только	3	4
87	я не	2	4
88	от ее	2	4
89	в своем	5	4
90	с другой	7	4
91	независимо от	13	4
92	же время	3	4
93	точка зрения	3	4
94	в их	10	4
95	и даже	3	4
96	о том	4	4
97	и более	2	4
98	о сущности	2	4
99	и все	3	4
100	как и	7	4
101	во всех	11	4
102	и о	5	4
103	и потому	4	4
104	на почве	3	4
105	нет и	3	4
106	оно не	3	4
107	должен быть	2	4
108	что и	2	4
109	слово и	2	4
110	между ними	4	4
111	с точки	6	4
112	то или	2	4
113	в данном	4	4
114	тем что	2	4
115	никогда не	5	3
116	принципиально не	4	3
117	можно сказать	2	3
118	несмотря на	3	3
119	на этом	2	3
120	в нем	15	3
121	отношение к	10	3
122	конечно можно	2	3
123	себя самого	4	3
124	все это	3	3
125	отношения к	6	3
126	можно только	6	3
127	к себе	2	3
128	но как	2	3
129	себя как	5	3
130	мы имеем	2	3
131	или как	3	3
132	перестает быть	4	3
133	что он	2	3
134	она может	3	3
135	себе не	2	3
136	можно и	2	3
137	в своей	7	3
138	так и	5	3
139	да и	3	3
140	самом деле	6	3
141	того чтобы	2	3
142	хотя бы	4	3
143	с самим	2	3
144	и вообще	2	3
145	вопроса о	3	3
146	в основе	5	3
147	мы будем	3	2
148	в частности	2	2
149	была бы	2	2
150	а только	2	2
151	но зато	2	2
152	ни в	11	2
153	в самой	2	2
154	основе своей	3	2
155	кроме того	3	2
156	в виду	4	2
157	но совершенно	2	2
158	и тем	3	2
159	но она	2	2
160	данном случае	4	2
161	чем не	2	2
162	в слове	3	2
163	от всех	4	2
164	конечно и	4	2
165	в своих	2	2
166	в более	4	2
167	самим собою	2	2
168	как это	2	2
169	оно может	2	2
170	к личности	2	2
171	то есть	46	2
172	мы можем	6	2
173	на него	3	2
174	ни к	2	2
175	но они	4	2
176	и во	2	2
177	не с	4	2
178	о которых	2	2
179	не нужно	5	2
180	как вещь	4	2
181	для нее	8	2
182	он не	3	2
183	как в	4	2
184	приводит к	3	2
185	но можно	2	2
186	как нечто	3	2
187	может и	4	2
188	как мы	7	2
189	можно говорить	2	2
190	для того	2	2
191	к чему	2	2
192	я должен	2	2
193	и его	16	2
194	степени и	2	2
195	на ее	3	2
196	дело в	2	2
197	в особенности	2	2
198	не все	2	2
199	том как	2	2
